"BALLINAMALLARD (ROSSTAD)",,,,,,,,,,,,
Grid ref,IH216519,Long,-7.668011,Lat,54.415345,,,,,,,
Station no,6187/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.75,5.19,1.24,5.19,3.39,,,,,,,
February,3.76,3.96,1.57,4.61,4.53,,,,,,,
March,3.52,2.27,0.33,4.33,0.72,,,,,,,
April,2.32,1.99,1.83,0.88,2.04,,,,,,,
May,1.92,2.22,2.17,3.47,3.42,,,,,,,
June,3.16,2.86,1.44,2.88,4.86,,,,,,,
July,3.05,1.46,5.12,5.05,2.01,,,,,,,
August,5.51,4.98,3.45,3.29,0.57,,,,,,,
September,3.09,1.54,4.88,4.98,4.11,,,,,,,
October,1.61,6.31,3.01,6.60,2.45,,,,,,,
November,5.60,1.75,5.01,6.17,3.95,,,,,,,
December,5.65,3.69,2.95,4.69,4.50,,,,,,,
Total,42.94,38.22,33.00,52.14,36.55,,,,,,,
Calc annual,42.94,38.22,33.00,52.14,36.55,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
