MOORFOOT HILLS (EDGELAW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT304578,Long,-3.112036,Lat,55.808437,Elevation,654,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.03,3.63,2.96,2.7,1.16,3.67,3.94,3.41,4.01,1.04,2.03,3.13,2.82,1.46,3.37,2.25,2.97,,,1.26,2.71,,,,,,,,,
February,2.02,0.5,2.82,0.08,2.14,2.51,3.66,0.93,1.64,0.83,3.42,1.04,1.7,1.01,2.32,0.94,1.98,,,3.32,2.37,,,,,,,,,
March,1.32,2.81,0.74,3.33,1.06,1.87,2.53,0.63,2.51,2.84,2.57,2.16,1.63,0.42,1.25,1.75,4.29,,,2.12,2.29,,,,,,,,,
April,2.39,2.75,1.99,4.08,2.79,1.31,1.16,0.33,1.17,1.98,1.2,1.23,1.06,1.53,1.03,0.39,3.35,,,2.1,2.39,,,,,,,,,
May,3.19,2.85,1.45,2.32,0.69,0.77,2.56,3.06,0.8,1.88,2.41,1.57,3,2.13,4.32,2.1,3.15,,,1.84,2.79,,,,,,,,,
June,4.53,1.28,2.28,2.3,1.99,1.56,0.93,3.7,2.04,0.83,1.03,1.18,2.12,2.43,1.6,1.23,3.03,,,1.57,,,,,,,,,,
July,3.53,4,3.93,1.87,0.89,5.1,5.49,2.71,2.16,7.99,2.59,3.24,2.73,2.77,2.08,3.37,3.05,,,2.96,,,,,,,,,,
August,5.47,0.69,0.88,3.15,2.06,1.3,3.12,1.46,1.28,0.73,3.58,2.57,3.49,2.19,3.18,3.52,0.16,,,2.8,,,,,,,,,,
September,1.31,3.57,1.97,1.84,3.47,2.82,1.59,1.66,1.84,3.47,0.97,2.05,1.25,5.31,3.57,3.04,1.5,,,4.81,,,,,,,,,,
October,1.87,6.05,2.61,3.93,5.82,2.36,3.17,4.83,3.7,2.72,2.93,2.56,3.73,2.68,3.37,0.43,0.81,,,1.82,,,,,,,,,,
November,3.76,1.8,1.9,2.83,3.98,2.69,0.62,4.52,4.49,4.17,2.94,0.6,0.99,6.43,0.43,4.41,3.6,,,3.55,,,,,,,,,,
December,1.52,4.88,1.05,3.4,1.47,2.17,2.85,2.47,1.03,2.02,1,1.8,1.4,2.57,2.28,2.34,1.74,,,1.02,,,,,,,,,,
Total,32.94,34.81,24.58,31.83,27.52,28.13,31.62,29.71,26.67,30.5,26.67,23.13,25.92,30.93,28.8,25.77,29.63,,,29.17,,,,,,,,,,
