BRIGHTON W.W. (LEWES ROAD),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,1.48,,,
June,,,,,,,,,3.40,,,
July,,,,,,,,,2.44,,,
August,,,,,,,,,2.04,,,
September,,,,,,,,,0.71,,,
October,,,,,,,,,8.25,,,
November,,,,,,,,,4.24,,,
December,,,,,,,,,4.10,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.66,0.00,0.00,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
