KINGSTON,,,,,,,,,,,,
Grid ref,SK063295,Long,-1.907867,Lat,52.862949,,,,,,,
Station no,2361/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.02,2.82,0.88,1.24,2.50,4.01,1.60,2.37,3.00,5.20,,
February,2.67,0.70,1.64,2.49,1.40,0.75,2.00,4.47,0.42,1.84,,
March,4.20,2.09,1.35,2.20,2.60,1.55,2.05,1.74,1.57,2.01,,
April,2.38,2.23,2.42,0.40,1.47,1.22,0.21,0.55,3.04,1.20,,
May,3.60,2.54,2.95,2.20,3.55,0.80,0.96,2.58,0.57,1.78,,
June,1.21,3.08,2.71,4.38,3.50,2.43,2.00,4.03,1.16,2.74,,
July,1.20,1.20,2.98,2.60,1.72,2.83,2.83,4.12,1.73,3.00,,
August,6.28,1.73,2.32,4.95,0.90,5.06,5.23,2.76,1.16,4.80,,
September,2.25,1.43,2.10,2.43,2.12,2.82,5.99,3.18,0.11,5.37,,
October,0.68,3.84,1.38,5.11,1.89,1.51,1.90,2.82,2.27,5.70,,
November,6.70,1.45,2.00,4.93,2.18,1.04,1.82,1.72,3.96,3.78,,
December,2.20,3.40,1.10,4.10,2.43,3.11,1.60,3.72,3.52,3.26,,
Total,35.39,26.51,23.83,37.03,26.26,27.13,28.19,34.06,22.51,40.68,,
Calc annual,35.39,26.51,23.83,37.03,26.26,27.13,28.19,34.06,22.51,40.68,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
