POPPLETON-SUGAR-FACTORY,,,,,,,,,,
Grid ref,SE576530,Long,-1.1234132,Lat,53.969873,Elevation,45,ft.,,
Station no,3346/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,2.05,1.61,2.1,3.52,3.03,2.3,3.02,2.44
February,,,3.7,1.02,2.46,2.01,3.39,1.31,1.98,1.47
March,,,1.86,1.95,0.84,1.04,2.3,0.22,1.97,1.75
April,,1.69,1.21,2.58,2.41,1.21,3.45,0.11,1.37,1.76
May,,5.25,2.22,1.07,1.09,1.38,3.81,3.39,1.27,1.73
June,,0.64,1.67,1.74,2.21,3.5,1.53,2.43,1.52,0.45
July,,2.95,1,1.56,0.29,3.14,1.41,2.51,4.26,6.82
August,,1.19,0.72,1.52,2.56,1.96,1.45,2.49,1.8,0.88
September,,1.97,2.13,1.59,4.68,1.8,1.09,1.94,1.07,1.37
October,,2.84,3.25,0.99,4.8,1.36,2.66,3.16,2.04,2.48
November,,1.53,2.41,1.69,3.84,2.82,1.95,2.59,2.82,2.69
December,,1.06,0.43,4.53,2.82,1.18,2.26,4.09,1.71,1.28
Total,,,22.65,21.85,30.1,24.92,28.33,26.54,24.83,25.12
,,,,,,,,,,
NGR is the sugar factory. Altitudes match,,,,,,,,,,
