TYNRON AUCHENBRACK,,,,,,,,,,
Grid ref,NX766965,Long,-3.9426418,Lat,55.2472,Elevation,629,ft,,
Station no,RR7322,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,0.8,5.55,3.7,5.4,6.1
February,,,,,,1,4.65,2.6,0.8,6.5
March,,,,,,3.9,0.45,4.1,2.2,5.5
April,,,,,,2.2,3,2.3,2.2,3.7
May,,,,,,1.9,4.4,1.7,5.5,1.3
June,,,,,,2.7,6.3,3.8,3.5,2.2
July,,,,,,3.3,3,3.5,4.2,4.2
August,,,,,5,5.7,5.65,2.8,3,3.8
September,,,,,,0.8,1.55,5.5,6.5,6.1
October,,,,,,8.9,3.2,3.5,7.8,4.1
November,,,,,,2.75,2.3,4.2,2,5.2
December,,,,,,4,8.1,5.75,4.5,4.5
Total,,,,,,37.95,48.15,43.45,47.6,53.2
