BRIXHAM-GALMPTON,,,,,,,,,,,,,,,,,,,,
Grid ref,SX887566,Long,-3.56734,Lat,50.39882,Elevation,200,ft,,,,,,,,,,,,
Station no,1689/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,0.78,1.32,4.74,4.38,0.45,2.03,7.39,,,,,
February,,,,,,,,,1.95,8.15,5.79,0.49,1.63,4.42,3.74,,,,,
March,,,,,,,,,1.22,2.63,5.7,4.19,0.72,4.04,1.88,,,,,
April,,,,,,,,3.28,1.84,2.14,2.13,4.52,3.61,0.34,1.22,,,,,
May,,,,,,,,2.73,3.17,4.36,2.56,2.53,4.72,2.22,3.92,,,,,
June,,,,,,,,1.98,0.74,0.71,1.21,2.11,2.35,2.94,2.92,,,,,
July,,,,,,,,0.88,2.2,5.1,1.81,1.78,3.86,2.42,2.44,,,,,
August,,,,,,,,3.32,1.93,4.4,4.89,4.67,2.4,4.07,0.05,,,,,
September,,,,,,,,1.52,3.1,4.47,5.18,3.83,3.27,4.32,0.99,,,,,
October,,,,,,,,2.69,4.84,1.98,1.3,6.65,2.72,3.18,3.08,,,,,
November,,,,,,,,1.78,5.07,7.59,7.12,7.67,2.51,8.63,5.2,,,,,
December,,,,,,,,6.45,1.8,4.19,4.35,3.23,0.74,3.28,7.83,,,,,
Total,,,,,,,,,28.64,47.04,46.78,46.05,28.98,41.89,40.66,,,,,
,,,,,,,,,,,,,,,,,,,,
Downend Langdon Lane Galmpton,,,,,,,,,,,,,,,,,,,,
House not found but NGR matches elevation,,,,,,,,,,,,,,,,,,,,
Formerly at Stn No 1673/4 Yealmpton,,,,,,,,,,,,,,,,,,,,
1950 Inspection Gauge in good condition Rim 16in above ground Recommended lowering it Site very good,,,,,,,,,,,,,,,,,,,,
1950 Gauge lowered to 1ft,,,,,,,,,,,,,,,,,,,,
