LANCHESTER (CRAIGMORE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ166471,Long,-1.743195,Lat,54.818479,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3545/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.89,1.87,4.27,2.28,3.67,1.04,4.7,1.75,2.26,8.34,0.76,2.12,1.45,2.35,0.71,2.41,2.21,3.46,1.99,2.1,2.51,4.9
February,,,,,,,,,1.35,2.7,6.83,1.66,1.2,2.39,1.71,0.5,5.17,1.59,0.97,4.08,2.94,0.48,1.85,2.11,2.76,2.08,2.71,4.88,0.63,2.79
March,,,,,,,,,4.6,2.42,3.13,1.1,0.69,0.47,0.41,1.54,4.74,0.84,1.19,0.91,4.63,1.44,0.04,1.34,1.95,0.79,1.38,2.55,0.6,2.77
April,,,,,,,,,1.61,1.58,1.41,1.2,1.62,1.65,1.83,1.41,4.94,1.63,1.54,1.92,1.53,1.37,2.68,0.56,0.53,1.03,0.3,1.83,2.15,1.05
May,,,,,,,,,1.69,2.24,1.63,1.44,2.93,1.72,3.03,2.09,2.16,2.15,0.67,1.91,3.82,1.45,2.22,4.11,1.92,0.69,2.33,3.61,0.51,2.23
June,,,,,,,,,2.66,0.91,0.55,1.61,1.32,1.61,2.29,1.36,2.32,4.83,0.78,0.84,1.61,1.41,2.92,1.7,2.5,3.57,1.28,2.8,1.37,0.35
July,,,,,,,,,2.85,6.54,0.79,3.29,1.29,2.06,1.87,3.15,2.28,0.92,2.21,4.04,1.54,0.38,1.96,1.42,1.19,2.64,3.71,3.24,1.37,4.28
August,,,,,,,,,2.32,1,2.5,2.31,4.69,1.77,4.31,3.49,0.48,4.32,2.11,4.53,4.65,2.46,5.26,6.01,1.04,6.48,5.03,2.02,0.49,2.41
September,,,,,,,,,1.25,1.6,0.57,3.28,3.15,5.39,1.69,4.15,1.53,3.25,1.83,3.49,1.59,4.16,1.61,2.36,0.73,2.83,3.46,2.12,0.81,2.5
October,,,,,,,,,7.05,4.78,3.06,2.48,1.95,3.59,3.62,1.14,0.92,1.49,2.67,1.12,1.08,4.1,1.91,3.93,1.69,1.71,1.57,1.61,1.3,9.28
November,,,,,,,,,3.36,3.9,3.61,0.58,2.56,5.28,1.32,6.13,2.41,1.51,4.55,6.32,5.4,3.2,1.19,4.51,1.77,0.64,2.13,0.57,4.16,3.09
December,,,,,,,,,1.7,2.66,0.44,2.05,1.36,1.56,1.55,2.68,2.12,2.54,2.94,2.29,2.69,3.02,0.67,2.41,3.19,2.64,1.97,4.61,3.95,2.2
Total,,,,,,,,,36.33,32.2,28.79,23.28,26.43,28.53,28.33,29.39,31.33,33.41,22.22,33.57,32.93,25.82,23.02,32.87,21.48,28.56,27.86,31.94,19.85,37.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,LANCHESTER: CRAIGMORE ,NZ1660046991,01/01/1939,31/12/1964,,,,,,,,,,,,,,,,,,,,,,,,,,
