"LANCHESTER (CRAIGMORE)",,,,,,,,,,,,
Grid ref,NZ166471,Long,-1.743195,Lat,54.818479,,,,,,,
Station no,3545/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.45,2.35,0.71,2.41,2.21,3.46,1.99,2.10,2.51,4.90,,
February,2.94,0.48,1.85,2.11,2.76,2.08,2.71,4.88,0.63,2.79,,
March,4.63,1.44,0.04,1.34,1.95,0.79,1.38,2.55,0.60,2.77,,
April,1.53,1.37,2.68,0.56,0.53,1.03,0.30,1.83,2.15,1.05,,
May,3.82,1.45,2.22,4.11,1.92,0.69,2.33,3.61,0.51,2.23,,
June,1.61,1.41,2.92,1.70,2.50,3.57,1.28,2.80,1.37,0.35,,
July,1.54,0.38,1.96,1.42,1.19,2.64,3.71,3.24,1.37,4.28,,
August,4.65,2.46,5.26,6.01,1.04,6.48,5.03,2.02,0.49,2.41,,
September,1.59,4.16,1.61,2.36,0.73,2.83,3.46,2.12,0.81,2.50,,
October,1.08,4.10,1.91,3.93,1.69,1.71,1.57,1.61,1.30,9.28,,
November,5.40,3.20,1.19,4.51,1.77,0.64,2.13,0.57,4.16,3.09,,
December,2.69,3.02,0.67,2.41,3.19,2.64,1.97,4.61,3.95,2.20,,
Total,32.93,25.82,23.02,32.87,21.48,28.56,27.86,31.94,19.85,37.85,,
Calc annual,32.93,25.82,23.02,32.87,21.48,28.56,27.86,31.94,19.85,37.85,,
Difference,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,,
