PITLOCHRY,,,,,,,,,,
Grid ref,NN945588,Long,-3.724921,Lat,56.708938,Elevation,473,ft,,
Station no,5561/3/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.52,2.07,1.94,2.29
February,,,,,,,3.75,1.82,0.73,3.56
March,,,,,,,3.09,1.32,2.64,2.05
April,,,,,,,0.99,0.97,2.64,3.66
May,,,,,,,1.49,3.11,0.76,2.85
June,,,,,,,1.52,2.66,1.69,2.07
July,,,,,,,3.57,4.16,3.68,2.18
August,,,,,,,3.05,5.05,1.02,3.03
September,,,,,,,1.89,4.51,1.07,2.57
October,,,,,,,2.22,2.1,4.73,4.46
November,,,,,,,0.63,1.22,4.39,4.01
December,,,,,,5.56,5.54,4.42,7.93,3.35
Total,,,,,,,32.26,33.41,33.22,36.08
,,,,,,,,,,
Station no,5561/3/5,,,,,,,,,
Midas,213,,,,,,,,,
Hyd Stn,870690,,,,,,,,,
