CASTLETON MOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD884101,Long,-2.1767044,Lat,53.587353,Elevation,488,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,4.57,2.35,3.87,5.02,,,,,,,,,,,,,,-999,-999,3.74,5.05,4.35,2.47,,,,
February,,,,1.92,4.31,2.93,4.84,,,,,,,,,,,,,,-999,-999,3.2,1.97,3.22,3.47,,,,
March,,,,1.12,2.27,1.36,2.1,,,,,,,,,,,,,,2.65,5.35,3.18,1.19,2.1,2.18,,,,
April,,,,1.49,1.4,1.44,1.08,,,,,,,,,,,,,,2,1.3,4.93,2.09,1.42,1.65,,,,
May,,,,,3.35,2.86,1.97,,,,,,,,,,,,,,2.4,4.45,2.17,0.61,1.45,2.07,,,,
June,,,,,3.72,0.66,5.94,,,,,,,,,,,,,,2.55,1.67,3.2,2.43,0.85,4.47,,,,
July,,,,1.55,2.27,3.55,3.96,,,,,,,,,,,,,,6.35,,5.69,2.46,-999,0.51,,,,
August,,,,4.1,2.5,5.1,5.24,,,,,,,,,,,,,,2.09,,3.47,2.01,-999,0.76,,,,
September,,,,7.57,4.1,0.66,8.6,,,,,,,,,,,,,,4.78,,2.07,5.82,3.28,4.88,,,,
October,,,,5.64,2.85,6.25,3.13,,,,,,,,,,,,,,-999,,4.56,5.53,-999,5.4,,,,
November,,,,4.03,4.08,3.83,6.83,,,,,,,,,,,,,,-999,,4.9,-999,-999,3.25,,,,
December,,,,4.03,2.67,1.32,5.59,,,,,,,,,,,,,,6.67,,4.11,-999,5.03,2.33,,,,
Total,,,,,35.87,33.83,54.3,,,,,,,,,,,,,,33.94,,45.22,36.43,29.7,33.44,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880 Jan/Feb bracketed 2.94; Oct/Nov bracketed 1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881 Jan/Feb bracketed 4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883 Nov/Dec bracketed 7.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884 July/Aug bracketed; Oct/Nov bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
