"EDINCHIP BALQUHIDDER",,,,,,,,,,,,
Grid ref,NN578223,Long,-4.303926,Lat,56.371557,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,9.40,5.98,6.26,13.54,7.50,5.39,12.38,5.27,8.58,9.46,,
February,3.88,2.02,1.98,13.52,6.05,5.60,5.30,7.02,5.97,2.94,,
March,0.79,4.07,4.80,17.33,3.83,8.25,6.06,6.68,8.10,2.34,,
April,4.31,5.90,4.62,2.69,10.56,3.76,2.69,4.98,1.67,6.67,,
May,7.49,4.24,2.88,2.16,5.09,3.01,6.00,6.79,3.08,5.31,,
June,4.47,5.73,2.83,3.12,4.70,3.57,1.48,5.71,3.41,3.03,,
July,3.56,4.83,3.63,5.51,4.36,3.67,4.16,2.89,4.76,3.78,,
August,5.21,4.65,3.36,9.31,7.68,4.42,7.31,8.00,5.87,3.61,,
September,4.99,6.66,5.11,6.94,7.03,3.95,3.17,2.12,8.94,2.53,,
October,8.54,6.63,4.91,14.03,3.75,5.10,11.48,5.82,2.49,12.37,,
November,6.28,3.56,8.97,5.24,2.59,9.53,7.28,5.89,6.38,4.31,,
December,16.23,8.57,10.70,7.23,8.30,6.92,5.46,8.36,8.12,7.26,,
Total,75.15,62.84,60.05,100.62,71.44,63.17,72.77,69.53,67.37,63.61,,
Calc annual,75.15,62.84,60.05,100.62,71.44,63.17,72.77,69.53,67.37,63.61,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
