"FINTRY (WATERHEAD)",,,,,,,,,,,,
Grid ref,NS651836,Long,-4.166151,Lat,56.026252,,,,,,,
Station no,5350/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.33,5.01,3.73,6.67,3.72,5.45,10.06,6.58,2.49,5.38,,
February,3.64,1.91,2.79,6.43,3.32,1.94,4.78,2.55,2.73,4.66,,
March,4.84,6.09,2.29,4.31,1.15,4.29,8.64,2.55,3.69,3.54,,
April,5.32,3.35,2.97,2.45,4.61,1.95,4.51,2.18,4.66,5.92,,
May,2.59,2.26,4.02,4.36,6.22,4.62,3.92,5.38,1.68,4.88,,
June,4.37,5.12,1.99,5.45,3.67,4.32,2.81,4.09,3.75,4.02,,
July,4.49,3.66,7.12,4.09,1.79,7.11,6.28,5.42,8.02,5.56,,
August,5.88,7.43,3.18,6.24,1.45,7.43,5.25,7.14,2.39,4.65,,
September,5.89,4.25,8.52,9.81,6.35,7.12,4.05,5.53,1.81,3.72,,
October,1.66,6.27,4.73,12.72,6.47,5.61,8.58,5.82,6.66,5.43,,
November,9.85,2.52,11.42,12.22,2.57,1.71,2.78,2.04,8.80,7.88,,
December,12.04,6.66,7.98,9.47,10.91,8.27,9.75,7.45,9.97,7.09,,
Total,67.90,54.53,60.74,84.22,52.23,59.82,71.41,56.73,56.65,62.73,,
Calc annual,67.90,54.53,60.74,84.22,52.23,59.82,71.41,56.73,56.65,62.73,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
