FINTRY (WATERHEAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS651836,Long,-4.166151,Lat,56.026252,Elevation,850,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5350/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,11.25,7.95,2.68,1.82,5.7,7.95,8.42,3.13,8.25,6.55,9.51,8.81,6.92,7.33,5.01,3.73,6.67,3.72,5.45,10.06,6.58,2.49,5.38
February,,,,,,,,4.21,11.01,2.9,6.3,3.5,8.35,3.15,10.61,5.64,2.7,7.52,7.63,8.12,3.64,1.91,2.79,6.43,3.32,1.94,4.78,2.55,2.73,4.66
March,,,,,,,,6.01,6.16,6.51,2.75,5.33,4.86,0.82,6.61,4.88,5.8,8.55,3.22,4.96,4.84,6.09,2.29,4.31,1.15,4.29,8.64,2.55,3.69,3.54
April,,,,,,,,1.48,4.03,4.56,3.37,5.1,5.42,4.58,3.62,2.43,9.48,5.52,8.49,5.11,5.32,3.35,2.97,2.45,4.61,1.95,4.51,2.18,4.66,5.92
May,,,,,,,,6.44,1.68,1.62,4.76,3.75,5.62,4.66,7.12,2.61,4.99,3.09,3.33,1.99,2.59,2.26,4.02,4.36,6.22,4.62,3.92,5.38,1.68,4.88
June,,,,,,,,9.07,3.96,1.16,1.53,2.9,5.65,5.64,6.41,4.46,5.39,7.45,1.62,4.41,4.37,5.12,1.99,5.45,3.67,4.32,2.81,4.09,3.75,4.02
July,,,,,,,,7.03,8.39,5.11,4.11,3.29,2.95,3.44,4.05,5.42,4,7.57,3.16,8.67,4.49,3.66,7.12,4.09,1.79,7.11,6.28,5.42,8.02,5.56
August,,,,,,,,4.2,2.86,3.23,5.32,9.35,9.68,4.94,2.95,5.82,0,11.13,6.15,8.78,5.88,7.43,3.18,6.24,1.45,7.43,5.25,7.14,2.39,4.65
September,,,,,,,,7.92,3.19,4.3,2.38,8.35,4.75,5.73,8.28,8.7,8.12,9.56,3.96,14.07,5.89,4.25,8.52,9.81,6.35,7.12,4.05,5.53,1.81,3.72
October,,,,,,,,12.51,4.62,7.93,6.1,9.12,10.63,7.26,9.1,0.71,3.57,9,8.65,6.83,1.66,6.27,4.73,12.72,6.47,5.61,8.58,5.82,6.66,5.43
November,,,,,,,,13.05,13.7,8.83,5.16,1.37,4.27,12.83,0.92,8.86,9.19,6.42,6.45,5.94,9.85,2.52,11.42,12.22,2.57,1.71,2.78,2.04,8.8,7.88
December,,,,,,,,5.54,3.37,6.28,4.32,5.92,3.79,9.09,4.78,8.3,3.21,8.78,14.18,2.81,12.04,6.66,7.98,9.47,10.91,8.27,9.75,7.45,9.97,7.09
Total,,,,,,,,88.71,70.92,55.11,47.92,63.68,73.92,70.56,67.58,66.08,63,94.1,75.65,78.61,67.9,54.53,60.74,84.22,52.23,59.82,71.41,56.73,56.65,62.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Feb adj for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 FM adj for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Oct adj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5350/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,895940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
