MICKLETON-BANK-HOUSE (GREYRICK HOUSE),,,,,,,,,,
Grid ref,SP1594943534,Long,-1.7686322,Lat,52.089927,Elevation,233,ft,,
Station no,RR6308,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,3.17,1.05,,
February,,,,,,,1.31,1.04,,
March,,,,,,,1.01,0.69,,
April,,,,,,,0.59,2.17,,
May,,,,,,,1.8,3.05,,
June,,,,,,,3.49,2.03,,
July,,,,,,,1.26,2.11,,
August,,,,,,,0.71,1.71,,
September,,,,,,0.69,0.96,0.49,,
October,,,,,,1.13,3.74,6.48,,
November,,,,,,2.51,2.63,,,
December,,,,,,0.83,1.51,,,
Total,,,,,,,22.18,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1907 Nov Gauge moved,,,,,,,,,,
