"South Elkington Hall, Louth",,,,,,,,,,,,,
Grid ref,TF297881,Long,-0.052,Lat,53.374,Elevation,234,ft,,,,,
Station no,RR4248,,,,,,,,,,,,
,,,,,,,,,,,,,
,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927
January,,0.91,,1.88,3.48,2.20,2.10,3.78,1.52,1.69,1.67,2.66,1.40
February,,2.50,,1.25,3.11,2.18,0.31,2.78,3.26,0.90,1.73,1.07,1.85
March,,3.97,,0.80,3.06,2.23,1.02,2.26,1.75,0.64,1.77,0.59,1.70
April,,1.65,,2.55,1.84,4.54,1.33,2.01,1.09,1.36,1.93,1.94,2.08
May,,2.82,,2.56,0.75,6.49,2.14,0.48,1.90,2.11,2.86,2.63,1.07
June,,3.54,,0.47,0.72,1.56,0.11,1.34,0.74,1.63,0.06,3.79,3.41
July,3.77,1.24,,2.39,3.05,2.31,0.23,5.23,3.45,2.11,0.42,2.44,2.40
August,1.91,2.89,,2.09,3.60,1.91,3.39,2.73,2.94,2.17,1.01,1.75,4.85
September,0.99,1.63,,4.72,2.44,1.39,0.55,2.92,3.59,3.28,2.51,0.62,4.67
October,1.66,2.19,,1.54,3.45,1.96,1.39,1.85,1.76,4.36,2.29,2.90,1.86
November,2.74,3.33,,1.89,2.39,0.49,1.81,1.49,3.27,1.51,2.01,2.81,4.32
December,4.58,3.24,,3.46,2.50,2.82,1.70,3.17,2.18,2.24,1.97,0.76,3.58
Total,,29.91,,25.60,30.39,30.08,16.08,30.04,27.45,24.00,20.23,23.96,33.19
,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/092,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/080,,,,,,,,,,,,,
