ALFORD ABERDEENSHIRE,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 553 161,Long,-2.741807,Lat,57.233556,Elevation,480,ft,,,,,,,,,,,,
Station no,RR1791,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,0.75,3.3,2.3,3,3.15,2.6,2.8,1.8,,,,,,,
February,,,,,,2.95,5.25,3.3,3.5,1,1.75,2.3,2.55,,,,,,,
March,,,,,,3.5,3.6,1.25,5.4,2,1.38,1.1,2.25,,,,,,,
April,,,,,,2.38,3.07,1.75,3.77,0.65,0.65,1,0.7,,,,,,,
May,,,,,,2.6,1.3,1.8,2.7,3.35,4,2.35,1.25,,,,,,,
June,,,,,,1.8,1.65,1.9,4.2,3,2.95,0.8,3.2,,,,,,,
July,,,,,,1.6,5.6,7.8,1.2,3.6,1.97,4.55,2.88,,,,,,,
August,,,,,,2.27,2.35,4.9,3.03,1.93,1.88,4.2,1.45,,,,,,,
September,,,,,,5.2,5.6,2.75,4.6,4.72,5.85,3.2,3.7,,,,,,,
October,,,,,,8.35,4.9,0.7,2.85,2.6,4.5,5.5,5.2,,,,,,,
November,,,,,,4.5,5.58,1.45,4.9,4,5.07,1.8,7.1,,,,,,,
December,,,,,,1.8,3.35,2.15,2.1,6.3,1.98,4.1,1.15,,,,,,,
Total,,,,,,37.7,45.55,32.05,41.25,36.3,34.58,33.7,33.23,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR Location Based on Manse1843 map,,,,,,,,,,,,,,,,,,,,
