BURTON-BRADSTOCK-GAGES,,,,,,,,,,
Grid ref,SY487898,Long,-2.72712,Lat,50.70601,Elevation,70,ft,,
Station no,1574/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.26,1.95,2.71,4.96,3.19
February,,,,,,0.15,3.34,2.89,0.38,2.69
March,,,,,,0.67,2.29,1.24,3.68,2.42
April,,,,,,0.78,0.19,0.49,2.26,2.52
May,,,,,,0.53,1.3,2.32,0.88,1.36
June,,,,,,2.04,1.9,3.38,0.71,1.32
July,,,,,,2.57,3.16,2.46,1.84,2.78
August,,,,,,3.41,1.96,2.75,1.89,5.02
September,,,,,,5.32,2.58,4.91,0.08,5.01
October,,,,,,1.78,2.2,2.15,2.5,8.25
November,,,,,,0.66,1.96,2.49,4.24,4.75
December,,,,,,4.53,2.39,5.08,6.2,4.12
Total,,,,,,26.7,25.22,32.87,29.62,43.43
,,,,,,,,,,
1955 Aug Moved from Stn No 2113/5,,,,,,,,,,
1959 Not printed O/S,,,,,,,,,,
1960 Apr 29 Inspection O/S most directions Rec site 40-50yds N more satis,,,,,,,,,,
1960 May New site as recommended,,,,,,,,,,
1960 Not printed Low,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Burton Bradstock SRC_ID 8028,,,,,,,,,,
1956-1968,,,,,,,,,,
