GLASTONBURY-ST-MICHAELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST511383,Long,-2.69926,Lat,51.14203,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,3.57,2.98,3.78,1.61,3.8,2.49,3.61,3.42,4.36,1.57,3.48,2.22,2.03,2.31,2.16,,,,,,
February,,,,,,,,,,,1.11,0.21,2.87,6.08,0.41,3.48,1.8,3.41,2.64,1.23,0.69,2.47,0,3.92,0.23,,,,,,
March,,,,,,,,,,,1.8,1.68,2.63,1.47,1.03,0.57,0.96,3.58,2.45,0.19,1.98,0.89,1.81,2.55,2.32,,,,,,
April,,,,,,,,,,,3.58,0.71,2.09,1.77,2.23,2.33,2.88,1.59,1.18,0.62,2.62,2.43,2.9,1.53,2.12,,,,,,
May,,,,,,,,,,,1.86,1.66,0.67,1.36,4.58,3.4,2.12,2,0.58,2.17,2.15,3.5,5,1.78,1.47,,,,,,
June,,,,,,,,,,,2.62,0.78,1.18,0.5,2.74,0.02,3.1,2.88,2.8,1.73,1.52,2.97,1.04,1.64,1.08,,,,,,
July,,,,,,,,,,,4.85,0.29,3.05,1.76,3.6,3.05,5.23,3.37,2.33,1.34,1.96,4.92,2.9,3.04,1.01,,,,,,
August,,,,,,,,,,3.7,1.61,1.41,4.28,2.62,5.75,3.95,2.31,3.47,2.13,3.44,3.21,3.93,1.39,1.26,4.51,,,,,,
September,,,,,,,,,,1.41,1.52,2.1,2,2.82,3.37,3.67,1.47,6.79,1.09,0.29,3.53,1.86,4.71,1.55,2.59,,,,,,
October,,,,,,,,,,2.54,2.15,1.03,1.23,5.32,5.21,2.87,4.31,2.5,5.34,4.77,3.04,0.85,5.99,2.83,2.75,,,,,,
November,,,,,,,,,,1.81,1.32,1.9,1.49,1.93,3.07,2.36,6.55,3.18,3.33,7.3,3.82,3.16,2.76,0.66,1.26,,,,,,
December,,,,,,,,,,5.27,1.87,1.94,3.56,3,3.24,2.59,0.59,2.92,3.07,5.43,3.61,1.45,1.86,0.78,,,,,,,
Total,,,,,,,,,,,27.86,16.69,28.83,30.24,39.03,30.78,34.93,39.11,31.3,30.08,31.61,30.65,32.39,23.85,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Michaels Ashwell Lane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House not found but this house matches elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 Dec Observer died so value estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
