"WINGHAM MARGATE WATER WORKS",,,,,,,,,,,,
Grid ref,TR243553,Long,1.212919,Lat,51.252730,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.00,3.25,0.99,2.02,0.70,,
February,,,,,,0.68,2.17,1.80,1.13,0.90,,
March,,,,,,2.89,1.53,0.71,2.34,3.09,,
April,,,,,,2.70,0.65,2.49,1.56,1.52,,
May,,,,,,1.17,1.84,2.26,1.49,0.89,,
June,,,,,,3.81,2.39,2.11,1.45,2.76,,
July,,,,,,0.78,0.80,0.94,3.32,3.23,,
August,,,,,,1.87,0.36,1.69,3.02,4.31,,
September,,,,,,2.33,1.49,0.28,2.12,2.52,,
October,,,,,,2.17,3.28,5.24,1.61,6.98,,
November,,,,,,3.74,5.16,2.64,1.25,0.66,,
December,,,,,,0.59,1.87,2.68,3.08,5.02,,
Total,,,,,,23.73,24.79,23.83,24.39,32.58,,
Calc annual,0.00,0.00,0.00,0.00,0.00,23.73,24.79,23.83,24.39,32.58,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,0.00,,
