WATTON-MERTON-HALL,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL914983,Long,0.82146799,Lat,52.548888,Elevation,160,ft,,,,,,,,,,,,,
Station no,1459/7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.35,4.02,1.99,2.19,1.28,2.68,2.23,,,,,,,,2.21,2.51,3.98,4.01,5.05,
February,,0.42,3.03,3.7,1.48,2.57,2.23,2.32,,,,,,,,2.25,2.44,3.27,0.9,0.81,
March,,1.8,2.41,1.33,0.76,2.35,0.32,2.09,,,,,,,,0.74,0.55,3.97,0.52,2.46,
April,,1.32,2.27,0.98,2.07,2.67,2.47,1.83,,,,,,,,3.22,1.79,2.48,0.52,2.4,
May,,1.45,1.01,1.27,2.78,3.04,1.52,0.73,,,,,,,,1.01,1.21,2.33,2.14,0.58,
June,,0.78,0.98,0.81,1.07,0.55,2.86,5.22,,,,,,,,3.02,3.71,1.44,1.32,1.71,
July,,1.57,4.96,3.39,1.97,1.54,1.61,2.33,,,,,,,,0.78,4.71,1.84,1.66,1.45,
August,,2.23,2.56,2.49,2.5,1.93,1.95,2.68,,,,,,,,0.94,1.23,1.45,2.17,4.44,
September,,1.53,2.93,1.57,3.28,2.6,0.82,3.02,,,,,,,,3.03,2.37,2.4,2.19,1.41,
October,,2.14,0.57,3.49,4.68,2.19,2.39,2.46,,,,,,,,3.11,1.93,1.56,2.94,3.6,
November,,1.32,1.94,2.48,1.99,2.76,3.52,3.2,,,,,,,,3.68,2.74,2.02,2.3,4.16,
December,,1.68,2.84,3.26,2.58,1.84,0.82,2.17,,,,,,,,2.1,1.61,3.03,3.21,2.03,
Total,,18.59,29.52,26.76,27.35,25.32,23.19,30.28,,,,,,,,26.09,26.8,29.77,23.88,30.1,
