SANDBACH-MALKINS-BANK-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ763588,Long,-2.3556242,Lat,53.125836,Elevation,200,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926
January,,,,,,,,0.84,1.54,2.2,2.52,1.64,1.85,3.72,1.93,0.65,3.57,1.19,1.4,1.44,1.42,0.71,2.12,2.09,1.5,3.17,1.03,1.9,1.66,2.34,2.87,2.6,2.64,1.52,,,
February,,,,,,,,1.78,1.4,0.97,2.3,1.27,1.1,1.02,2.1,1.03,2.08,1.33,1.46,0.59,1.89,1.5,0.47,0.92,1.15,2.11,3.25,0.88,1.65,0.73,2.94,0.27,2.07,3.73,,,
March,,,,,,,,1.67,0.53,0.95,0.71,1.57,2.11,3.25,1.11,2.54,2.01,1.37,2.11,2.07,0.55,1.17,3.57,3.68,3,1.18,1.5,1.52,1.12,4.13,2.34,1.33,1.79,1.37,,,
April,,,,,,,,1.9,1.04,2.24,1.06,2.06,2.53,1.23,1.3,1.71,1.91,1.23,2.12,1.79,2.37,1.18,0.15,2.42,0.98,0.93,1.45,1.05,0.89,0.87,3.54,0.78,2.36,1.82,,,
May,,,,,,,,1.03,3.52,1.46,1.47,0.8,3.47,2.61,2.13,0.64,2.27,2.76,2.24,1.45,2.09,0.42,1.72,1.96,1.79,1.21,1.92,2.17,1.88,0.47,3.52,1.65,0.77,3.03,,,
June,,,,,,,,3.11,2.14,2.22,3.29,1.98,1.76,1.19,0.91,1.69,1.31,4.4,1.6,2.79,1.51,2.49,3.18,1.72,1.34,1.46,1.37,1.94,1.39,1.68,3.16,0.54,1.3,0.41,,,
July,,,,,,,,0.83,0.84,1.68,1.67,3.04,1.72,3.55,1.76,1.91,1.48,2.57,3.73,4.33,3.74,0.58,2.52,0.86,5.09,3.87,1.56,1.59,4.2,1.68,4.36,0.53,3.18,1.89,,,
August,,,,,,,,2.28,4.74,1.24,4.79,2.5,3.25,3.53,3.14,3.76,2.27,3.54,2.65,2.58,3.99,1.79,4.11,1.97,3.91,2.4,3.15,4.45,2.82,2.31,1.19,5.17,3.47,2.46,,,
September,,,,,,,,3.3,0.52,2.99,0.77,0.59,1.12,4.14,1.87,1.31,1.81,0.5,2.54,2.8,0.47,2.37,0.94,1.02,1.82,0.63,1.67,1.21,4.95,1.84,2.14,0.79,3.22,2.96,,,
October,,,,,,,,1.08,2.19,2.77,3.26,2.83,3.5,5.06,1.14,2.38,4.52,2.98,1.24,4.16,2.07,2.23,2.23,1.72,1.12,1.07,2.44,4.49,1.47,2.86,1.33,2.46,0.21,3.16,,,
November,,,,,,,,2.71,1.06,0.64,1.96,2.14,1.77,2.73,1.31,2.62,1.9,1.38,2.21,1.04,5.07,1.79,2.39,1.81,2.36,1.79,1.57,2.2,1.75,1.62,0.39,1.3,0.98,1.39,,,
December,,,,,,,,2.21,2.17,1.7,2.94,4.07,1.77,1.15,1.48,0.44,2.26,1.64,1.81,3.81,2.68,3.59,1.94,1.38,4.86,3.79,1.91,1.01,4.24,4.46,1.79,1.88,3,3.66,,,
Total,,,,,,,,22.74,21.69,21.06,26.74,24.49,25.95,33.18,20.18,20.68,27.39,24.89,25.11,28.85,27.85,19.82,25.34,21.55,28.92,23.61,22.82,24.41,28.02,24.99,29.57,19.3,24.99,27.4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is reservoir mentioned in the descriptions, the gauge is noted as being mounted on a pole on the bank of the reservoir. Records have 2 altitudes 138 and 244 neither fits the location. Gauge described as faulty and New Guage installed about 300 yards NW and overlaps for one year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
