SANDBACH-MALKINS-BANK-NEW-GAUGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ765590,Long,-2.3526503,Lat,53.127642,Elevation,230,ft.,,,,,,,,,,,,,
Station no,RR1517,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.59,4.99,1.59,3.8,2.32,2.54,,,,,,,,
February,,,,,,,,1.26,2.3,0.94,0.16,2.9,0.16,,,,,,,,
March,,,,,,,,3.13,1.23,0.64,2.47,0.14,,,,,,,,,
April,,,,,,,,2.17,1.01,0.79,2.72,3.36,,,,,,,,,
May,,,,,,,,1.74,0.74,1.84,2.29,2.82,,,,,,,,,
June,,,,,,,,4.77,4.54,1.85,1.49,4.27,,,,,,,,,
July,,,,,,,,1.86,1.69,2.66,6.73,3.32,,,,,,,,,
August,,,,,,,,3.76,3.68,3.29,3.13,5.39,,,,,,,,,
September,,,,,,,,4.01,0.75,1.76,2.89,3.04,,,,,,,,,
October,,,,,,,,1.82,3.62,4.68,4.49,0.95,,,,,,,,,
November,,,,,,,,2.65,4.07,5.85,2.94,4.78,,,,,,,,,
December,,,,,,,,0.94,2.08,4.55,2.86,1.62,,,,,,,,,
Total,,,,,,,,30.7,30.7,30.44,35.97,34.91,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is the ""other side of the canal"" from the Old Gauge, as mentoined in the record. Altitudes match.",,,,,,,,,,,,,,,,,,,,,
