BURES-COLCHESTER-ROAD,,,,,,,,,,
Grid ref,TL905337,Long,0.77178439,Lat,51.96912,Elevation,80,ft,,
Station no,1328/4/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.61,2.09,3.65,1.28,2.3,1.68,2.22
February,,,,2.16,1.76,0.6,2.36,3.11,0.1,1.34
March,,,,2.21,1.15,0.88,1.69,0.85,1.48,1.53
April,,,,0.38,0.26,0.86,0.22,1.07,2.42,0.48
May,,,,1.97,3.05,0.57,1.24,2.21,0.45,0.79
June,,,,2.76,2.23,2.08,1.58,4.8,0.97,0.88
July,,,3.23,2.99,0.2,3.39,3.08,2.65,1.82,3.67
August,,,1.95,3.82,1.86,4.5,3.14,4.76,0.53,2.61
September,,,1.85,1.56,1.82,1.43,3.1,3.1,0.01,3.81
October,,,2.55,1.7,4.13,2.24,1.89,2.05,1.48,5.81
November,,,1.09,3.44,0.77,0.68,2.67,1.29,2.73,3.36
December,,,0.84,1.64,1.74,2.21,1.98,3.24,3.58,2.61
Total,,,,26.24,21.06,23.09,24.23,31.43,17.25,29.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Note that in 1954 it was realised that this gauge was in Essex and not Suffolk (by about 50 yards) and was hence re-numbered from 1331/8 to that above.,,,,,,,,,,
