BURES - COLCHESTER ROAD,,,,,,,,,,,,
Grid ref,TL905337,Long,0.771784,Lat,51.969120,,,,,,,
Station no,1328/4/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.09,3.65,1.28,2.30,1.68,2.22,,
February,,,,,1.76,0.60,2.36,3.11,0.10,1.34,,
March,,,,,1.15,0.88,1.69,0.85,1.48,1.53,,
April,,,,,0.26,0.86,0.22,1.07,2.42,0.48,,
May,,,,,3.05,0.57,1.24,2.21,0.45,0.79,,
June,,,,,2.23,2.08,1.58,4.80,0.97,0.88,,
July,,,,,0.20,3.39,3.08,2.65,1.82,3.67,,
August,,,,,1.86,4.50,3.14,4.76,0.53,2.61,,
September,,,,,1.82,1.43,3.10,3.10,0.01,3.81,,
October,,,,,4.13,2.24,1.89,2.05,1.48,5.81,,
November,,,,,0.77,0.68,2.67,1.29,2.73,3.36,,
December,,,,,1.74,2.21,1.98,3.24,3.58,2.61,,
Total,,,,26.24,21.06,23.09,24.23,31.43,17.25,29.11,,
Calc annual,0.00,0.00,0.00,0.00,21.06,23.09,24.23,31.43,17.25,29.11,,
Difference,NaN,NaN,NaN,26.24,0.00,-0.00,0.00,0.00,0.00,0.00,,
