SAFFRON WALDEN DEBDEN RECTORY,,,,,,,,,,,,
Grid ref,TL557343,Long,0.265933,Lat,51.985340,,,,,,,
Station no,RR6692,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.65,0.42,0.54,2.11,1.93,1.25,3.44,0.98,,,,
February,2.13,0.90,0.96,0.71,3.03,1.04,2.12,1.07,,,,
March,0.71,1.92,1.15,2.41,1.30,2.31,1.79,0.83,,,,
April,0.78,1.79,0.62,1.78,0.76,1.70,1.10,3.28,,,,
May,1.16,1.48,2.76,3.04,1.65,1.68,1.13,2.39,,,,
June,2.47,1.58,2.39,5.62,1.34,3.38,3.82,1.54,,,,
July,1.28,2.87,1.55,4.58,3.16,2.24,1.20,2.91,,,,
August,4.16,1.98,3.32,4.17,2.27,2.08,0.86,2.35,,,,
September,0.66,1.56,0.79,3.59,1.63,1.71,1.06,,,,,
October,1.80,2.53,1.36,5.24,1.27,1.28,4.06,,,,,
November,1.84,0.82,1.21,1.95,1.61,2.41,3.92,,,,,
December,2.30,3.25,1.30,1.22,2.01,0.73,2.40,,,,,
Total,21.94,21.10,17.95,36.42,21.96,21.81,26.90,,,,,
Calc annual,21.94,21.10,17.95,36.42,21.96,21.81,26.90,15.35,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,,
