POTTERS-BAR-THE-ELMS,,,,,,,,,,,,,,,,,,,,
Grid ref,TL262015,Long,-0.17534559,Lat,51.698067,Elevation,418,ft.,,,,,,,,,,,,
Station no,RR6341,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,3.94,0.68,3.8,3.33,3.13,3.64,3,2.84,,,,,,,,,
February,,,0.37,0.85,0.45,2.46,4.22,1.96,0.57,2.39,2.21,,,,,,,,,
March,,,3.69,0.71,2.72,0.58,2,2.49,1.68,1.77,2.3,,,,,,,,,
April,,,2.44,0.59,1.16,0.5,2.03,2.1,1.36,1.18,0.45,,,,,,,,,
May,,,2.64,1.24,2.6,2.97,1.56,3.45,0.45,3.34,0.82,,,,,,,,,
June,,,2.95,3.98,1.43,1.63,2.78,1.13,0.3,0.87,1.22,,,,,,,,,
July,,,1.22,0.73,0.57,2.28,2.96,5.12,0.56,0.89,0.41,,,,,,,,,
August,,,,2.17,0.9,4.86,2.33,2.32,3.33,1.23,1.42,,,,,,,,,
September,,,,3.56,2.59,0.6,3.77,2.25,3.13,2.3,1.32,,,,,,,,,
October,,,,2.93,1.51,7.19,2.39,1.62,2.93,2.18,5.02,,,,,,,,,
November,,,,2.46,2.26,3.02,2.25,0.37,1.83,1.45,1.24,,,,,,,,,
December,,,,1.3,0.73,1.41,2.84,2.57,5.78,3.42,2.74,,,,,,,,,
Total,,,,24.46,17.6,31.3,32.46,28.51,25.56,24.02,21.99,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is an area on High St Potters Bar called  The Elms, not sure if this is the location of the original Elms. Altitude from OS map",,,,,,,,,,,,,,,,,,,,
