SEAFIELD HOUSE AYR,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 330 204,Long,-4.640994,Lat,55.448881,Elevation,15,ft,,,,,,,,,,,,
Station no,RR1772,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,2.05,2.51,3.11,4.6,5.23,3.75,2.33,5.26,2.07,2.72,6.5,3.58,4.56,
February,,,,,,,3.4,1.83,1.05,4.34,3.84,3.23,1.81,3.32,2.12,2.49,4.03,2.8,4.86,
March,,,,,,,0.02,2.02,1.84,4.85,3.45,5.48,3.07,1.26,4.4,1.49,1.59,0.65,5.17,
April,,,,,,,0.74,1.51,2.06,3.7,0.89,0.38,3.1,3.52,1.51,0.43,0.61,3.83,2.65,
May,,,,,,,3.59,1.73,3.24,0.15,1.6,1.72,4.84,2.7,1.57,3.54,2.1,1.54,2.08,
June,,,,,,,5.51,3.24,4.03,1.02,4.24,3.33,2.49,5.06,1.72,1.13,1.68,1.98,0.76,
July,,,,,,,2.84,1.87,4.24,3.48,1.57,2.66,3.31,0.08,2,1.55,3.28,3.57,0.48,
August,,,,,,,4.37,1.53,2.71,4.2,3.04,6.21,2.67,2.77,1.06,3.44,3.44,2.8,5.5,
September,,,,,,,1.98,3,4.18,4.05,1.14,4.85,2.13,4.84,4.6,0.82,5.9,3.2,2.8,
October,,,,,,,1.62,1.94,4.03,2.24,4.72,3.4,8.15,4.22,3.23,2.55,1.91,4.05,5.02,
November,,,,,,,1.6,3.64,1.05,1.46,0.42,4.1,2.4,3.34,3.49,2.4,4.46,1.33,1.79,
December,,,,,,,3.91,3.35,3.38,3.18,1.1,2.13,5.55,5.14,2.88,2,4.93,3.64,4.3,
Total,,,,,,,31.63,28.17,34.92,37.27,31.24,41.24,41.85,41.51,30.65,24.56,40.43,32.97,39.97,
