"EMBLETON BROOKFOOT RESERVOIR",,,,,,,,,,,,
Grid ref,NZ431309,Long,-1.333216,Lat,54.671335,,,,,,,
Station no,3524,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.24,1.76,0.75,2.15,1.63,3.00,1.44,1.47,2.60,4.61,,
February,1.79,0.55,1.70,1.61,2.16,1.53,1.93,3.98,0.63,1.96,,
March,3.52,1.47,0.12,1.38,1.29,0.79,0.99,2.42,0.68,1.83,,
April,0.93,1.72,1.90,0.21,1.00,0.77,0.43,1.43,1.78,0.68,,
May,4.03,1.34,1.78,2.24,1.16,0.33,1.28,2.89,0.39,1.37,,
June,1.04,1.21,2.20,1.91,2.34,3.20,2.44,2.40,1.62,0.38,,
July,1.56,0.76,2.68,2.02,1.21,2.89,4.09,2.93,2.23,4.46,,
August,4.71,1.90,4.25,4.93,0.79,6.86,2.81,2.58,0.28,2.46,,
September,1.01,4.50,1.10,1.67,1.25,1.70,3.06,1.93,0.92,2.11,,
October,1.34,2.39,1.23,3.69,1.28,1.26,1.70,1.44,1.18,8.17,,
November,4.20,3.65,1.48,3.12,2.10,1.03,1.21,0.75,3.79,3.08,,
December,3.31,2.39,0.97,1.63,2.25,1.72,0.92,2.99,3.38,2.63,,
Total,28.68,23.64,20.16,26.56,18.46,25.08,22.30,27.21,19.48,33.74,,
Calc annual,28.68,23.64,20.16,26.56,18.46,25.08,22.30,27.21,19.48,33.74,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
