TICKHILL SANDBECK PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK568905,Long,-1.147033,Lat,53.408267,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,3.32,1.62,1.48,0.23,0.49,2.69,2.84,3.39,1.45,3.67,2.39,0.8,1.54,2.1,1.27,1.23,1.53,1.6,3.5,0.55,2.62,0.49,2.08,2.93,1.18,0.85,2.09,2.22,0.51,2.78,0.61,1.16,1.06,2.06,0.85,3.62,3.56,1.01,2.55,,,,
February,,,,,,,,1.64,0.89,2.86,1.83,3.25,1.73,2.41,1.33,2.23,0.51,0.48,1.56,1.79,0.96,0.03,1.92,2.84,2.58,0.17,0.67,3.12,0.64,1.65,4.09,1.05,1.3,1.18,3.21,0.83,2.47,1.29,2.04,0.51,1.96,1.04,1.54,0.74,1.03,2.58,,,,
March,,,,,,,,2.99,0.54,0.87,2.16,2.89,1.37,1.42,1.73,1.19,2.69,1.47,2.64,4.59,1.87,1.41,1.12,0.54,0.57,1.57,1.79,2.53,1.31,0.89,0.54,1.77,1.61,2.77,1.79,2.1,1.29,1.15,3.38,3.31,0.62,1.14,2.94,2.65,1.88,1.16,,,,
April,,,,,,,,3.19,2,3.22,1.25,0.69,3.12,2.67,1.6,1.91,1.57,1,1.3,3.03,0.49,1.55,1.13,0.36,3,2.39,0.84,1.41,2.82,1.92,1.2,1.18,1.93,1.08,1.17,1.92,0.53,1.72,2.12,1.64,1.77,0.72,0.14,2.3,0.81,0.64,,,,
May,,,,,,,,3.77,3.59,3.58,1.91,2,2.33,1.53,0.89,1.79,6.1,1.41,0.59,4.4,2.7,3.41,2.62,1.48,1.29,0.79,0.65,1.02,2.21,2.62,1.28,0.88,2.92,2.61,2.19,0.5,1.41,3.23,1.82,1.45,2.1,0.79,3.54,1.74,1.7,1.42,,,,
June,,,,,,,,1.41,2.5,3.65,2.48,1.93,4.03,3.39,0.6,2.87,0.69,0.19,1.77,0.42,2.12,2.87,3.04,1.34,2.52,1.64,3.48,2.31,0.83,1.64,2.32,1.45,0.96,1.32,0.32,2.99,1.96,2.84,1.51,3,1.88,2.51,4.3,0.6,1.7,0.39,,,,
July,,,,,,,,1.69,0.73,3.58,5.26,1.33,2.73,2.53,4.6,0.57,2.74,1.8,5.39,1.76,1.95,2.2,2.24,5.51,4.29,4.08,1.63,0.78,2.71,2.06,2.18,3.23,1.68,2.23,4.26,1.54,0.52,1.88,2.75,3.74,2.7,0.19,4.79,1.06,3.43,4.4,,,,
August,,,,,,,,4.64,5.9,3.76,2.48,5.19,1.69,1,1.49,1.73,1.95,1.95,2.25,3.09,2.9,3.37,1.89,1.39,2.08,1.24,2.33,2.37,3.4,0.81,4.69,0.98,4.24,4.12,3.49,2.4,1.56,1.99,2.22,2.78,2.79,1.7,4.95,1.65,1.54,3.03,,,,
September,,,,,,,,4.25,2.19,1.7,5.33,2.15,1.5,5.53,0.82,1.92,0.84,1.94,1.24,1.56,1.41,1.3,2.1,1.16,0.63,0.8,4.51,2.04,0.53,2.56,1.01,0.74,0.94,2.79,0.87,1.23,1.05,0.43,1.4,1.94,0.16,2.1,1.35,3.53,0.93,0.87,,,,
October,,,,,,,,1.43,2.4,0.87,6.72,2.39,5.34,3.07,0.95,5.23,3.55,1.85,0.69,3.24,1.14,3.41,4.56,1.59,3.35,2.79,3.61,0.96,2.57,2.7,3.11,1.75,2.36,5.15,0.39,1.24,4.62,4.6,0.66,2.6,1.87,1.9,2.49,3.14,2.26,0.9,,,,
November,,,,,,,,1.26,2.76,1.73,2.21,2.6,3.15,2.72,0.99,2.13,1.41,1.83,4.19,0.54,3.4,2.79,1.21,2.17,1.37,3.5,1.18,1.94,2.6,1.29,2.08,2.8,1.69,1.24,1.09,2.74,2.55,1.95,0.95,0.31,3.19,3.18,1.53,1.68,2.13,2.61,,,,
December,,,,,,,,1.91,1.76,1.31,3.01,2.39,4.34,1.17,1.45,0.89,3.89,1.14,1.82,1.3,0.62,3.36,0.5,2.89,1.31,2.27,2.66,2.03,1.8,2.46,3.07,5.29,1.87,0.92,1.35,0.42,2.69,2.44,1.3,5.13,3.63,4.32,2.38,1.22,4.16,5.57,,,,
Total,,,,,,,,31.5,26.88,28.61,34.87,27.3,34.02,30.28,19.84,23.91,29.61,17.45,24.24,27.26,21.66,26.97,23.56,22.8,24.59,24.74,23.9,23.13,21.91,22.68,28.5,22.3,22.35,27.5,22.35,18.42,23.43,24.13,21.31,27.47,24.73,20.44,33.57,23.87,22.58,26.12,,,,
