MONTROSE SUNNYSIDE ASYLUM,,,,,,,,,,,,
Grid ref,NO709615,Long,-2.477373,Lat,56.744221,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.16,1.62,0.85,4.40,2.19,0.72,2.02,1.09,1.81,1.22,,
February,2.90,1.92,1.69,2.93,3.18,0.99,1.12,2.21,1.02,0.78,,
March,1.91,1.45,0.76,3.19,2.11,3.64,0.33,1.31,3.30,4.67,,
April,1.64,3.07,2.38,1.38,1.32,3.09,1.14,1.57,1.23,3.43,,
May,1.75,1.75,2.20,1.61,2.58,1.37,5.17,5.73,1.54,2.47,,
June,1.82,1.57,2.25,2.14,0.53,0.56,0.77,4.56,1.04,1.13,,
July,3.49,0.72,2.79,5.46,1.09,1.30,1.76,2.02,1.65,4.25,,
August,3.13,2.53,3.01,4.46,4.19,3.32,3.91,2.41,3.33,2.24,,
September,1.94,1.20,1.83,2.89,1.79,1.51,1.12,1.05,3.84,1.08,,
October,3.24,2.24,1.61,4.79,0.78,1.77,4.03,4.99,4.04,2.88,,
November,4.35,1.87,3.27,1.57,0.77,7.61,3.87,2.10,1.66,0.91,,
December,3.48,2.95,2.78,3.20,2.01,1.45,2.04,3.47,2.58,3.31,,
Total,33.81,22.89,25.42,38.02,22.54,27.33,27.28,32.51,27.04,28.37,,
Calc annual,33.81,22.89,25.42,38.02,22.54,27.33,27.28,32.51,27.04,28.37,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
