"MIDHURST - COCKING RECTORY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4902,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,5.18,5.36,5.66,1.93,3.37,5.69,,,,,,
February,0.78,0.24,4.17,6.77,0.56,5.77,,,,,,
March,3.28,1.79,2.66,2.77,2.05,0.58,,,,,,
April,4.28,1.23,4.36,3.79,3.76,3.64,,,,,,
May,1.69,2.23,1.11,3.20,4.80,5.66,,,,,,
June,1.78,0.06,1.72,0.45,2.47,0.05,,,,,,
July,6.52,0.39,4.79,1.45,5.01,4.97,,,,,,
August,1.81,2.24,3.09,2.95,3.65,4.90,,,,,,
September,2.86,1.07,3.62,2.63,6.69,3.71,,,,,,
October,3.51,0.61,1.12,8.13,5.58,5.57,,,,,,
November,2.47,3.96,2.68,1.80,2.31,4.82,,,,,,
December,4.73,3.04,5.11,4.25,5.92,4.11,,,,,,
Total,38.89,22.22,40.09,40.12,46.17,49.47,,,,,,
Calc annual,38.89,22.22,40.09,40.12,46.17,49.47,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,
