SLAIDBURN-KNOTTERANUM,,,,,,,,,,
Grid ref,SD737606,Long,-2.4030955,Lat,54.040698,Elevation,1200,ft.,,
Station no,3089/7/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.74,10,6.86,5,8.17
February,,,,,,1.72,5.32,10.55,1.8,6.7
March,,,,,,2.86,6.15,1.82,3.88,1.95
April,,,,,,2.25,1.2,1.91,4.58,5.26
May,,,,,,2.75,3.4,6.95,1.1,2.16
June,,,,,,3.6,2.56,4.7,3.65,3.34
July,,,,,,7.45,7.8,4.92,5.44,10.33
August,,,,,,13.5,8.32,6.15,0.8,4.72
September,,,,,,3.82,8.38,7.35,0.6,4.44
October,,,,,3.91,4.5,9.86,6.15,8.32,4.3
November,,,,,3.17,2.6,2.1,2.5,7.36,12.75
December,,,,,9.24,8.08,8.25,5.75,13.93,8.9
Total,,,,,,58.87,73.34,65.61,56.46,73.02
,,,,,,,,,,
NGR is from the 1950s record and is near Knotteranum. Altitudes match.,,,,,,,,,,
MIDAS src_id 12334 ends 1982,,,,,,,,,,
