AUCHTERARDER HOUSE STRATHEARN PERTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 950 145,Long,-3.697587,Lat,56.311821,Elevation,162,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,4.7,,,,,,4.74,1.25,5.89,5.08,3.15,1.25,3.35,3.6,7.7,5.55,2.15,2.75,4.85,5.93,3.97,6.61,2.42,2.52,3.38,1.8
February,,,,,1.2,,,,,,0.65,2.27,1.13,3.05,2.79,1.45,3.45,2.7,4.71,4.15,3.7,3.2,5.84,1.25,0.68,1.26,4.14,2.96,1.88,4.05
March,,,,,1.5,,,,,,2.19,2.37,4.08,0.95,2,1.5,2.8,2.35,3.85,0.6,0.7,2.3,2.05,1.4,1.96,1.83,3.71,1.54,1.45,3.35
April,,,,,0.3,,,,,,0.39,1.29,2.59,2.24,1.39,0.8,2.6,4.6,3.85,1.1,0.7,5.2,1.08,0.2,2.3,0.63,1.83,3.31,1.95,3.33
May,,,,,2.4,,,,,,1.43,0.95,2.44,1.3,1.39,1.49,0.65,3.4,2.5,1.1,2.2,0.85,3.08,2.88,2.11,1.54,1.85,1.72,8.66,2.41
June,,,,,4.1,,,,,,3.69,2.33,4.25,2.5,2.39,1.25,2,2.55,0.75,2.6,0.9,1.25,3.74,0.63,0.7,2,1.82,4.31,4.31,5.1
July,,,,,2.3,,,,,,2.49,4.19,2.7,0.17,2.8,3,2.3,5.35,0.4,1.2,1.3,3.5,2.5,3.73,4.22,2.81,1.15,2.82,0,4.86
August,,,,,1.7,,,,,,2.74,5.89,3.34,5.1,1.15,5.2,4.99,2.3,5.1,0.8,1.3,2.8,2.35,3.33,3.39,2.14,1.17,5.22,3.95,5.35
September,,,,,1.5,,,,,,1.33,4.49,1.15,4.05,3.6,3.66,5,1.7,2.9,4.3,2.1,1.4,4.65,2.15,2.97,2.79,4.38,3.42,4.04,4.43
October,,,,,2.5,,,,,,2.98,2.15,5.25,3.7,4.7,5.7,2.2,2.85,2.65,2.15,4.3,3.75,3.95,3.48,5.63,4.86,4.95,4.83,2.57,2.05
November,,,,,2.4,,,,,,2.89,3.55,2.05,2.15,3.5,3.4,2.3,0.5,2.2,1.5,0.7,2,5.64,1.08,4.72,5.1,2.82,3.79,3.3,1.92
December,,,,,3.7,,,,,,3.18,2.25,4.1,3,4.65,4,4.45,0.95,7.35,5.05,4,2.85,5.18,1.08,1.48,5.11,7.54,3.07,1.82,9.2
Total,,,,,28.3,,,,,,28.7,32.98,38.97,33.29,33.51,32.7,36.09,32.85,43.96,30.1,24.05,31.85,44.91,27.14,34.13,36.68,37.78,39.51,37.31,47.85
