"PRESTWICK (LADYKIRK FILTERS)",,,,,,,,,,,,
Grid ref,NS388270,Long,-4.554255,Lat,55.510084,,,,,,,
Station no,5222,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.49,3.93,2.41,3.69,2.50,2.51,4.11,3.29,1.43,4.05,,
February,2.67,1.77,0.97,2.57,1.32,1.03,2.01,3.78,1.42,2.77,,
March,2.73,1.59,0.74,2.17,1.39,1.30,3.49,0.74,1.88,2.51,,
April,1.97,1.54,1.38,0.98,2.55,0.95,2.63,1.26,2.03,2.13,,
May,1.81,1.73,1.70,2.08,2.86,1.51,2.22,2.84,1.20,1.48,,
June,1.59,2.48,0.94,3.73,2.75,2.08,2.28,2.63,3.16,1.94,,
July,1.97,2.67,4.32,4.97,1.51,5.50,3.14,4.79,4.61,3.00,,
August,3.53,5.50,3.45,4.06,1.72,6.53,4.55,5.20,0.49,3.29,,
September,2.47,2.69,3.19,4.63,3.13,3.90,3.39,3.37,1.44,2.96,,
October,1.27,3.25,2.91,8.32,1.91,3.43,4.08,2.78,6.27,2.30,,
November,4.61,2.18,5.30,4.45,1.85,1.32,1.76,1.37,3.41,4.61,,
December,5.65,3.46,3.98,4.63,4.46,3.65,2.65,3.97,4.60,4.37,,
Total,33.76,32.79,31.29,46.28,27.95,33.71,36.31,36.02,31.94,35.41,,
Calc annual,33.76,32.79,31.29,46.28,27.95,33.71,36.31,36.02,31.94,35.41,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
