BLANDFORD-LONGTHORNS,,,,,,,,,,,,,,,,,,,,
Grid ref,SY825992,Long,-2.24893,Lat,50.79211,Elevation,350,ft,,,,,,,,,,,,
Station no,1603,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,4.98,6.14,5.23,3.52,2.7,8.8,6.01,3.33,5.67,1.57,8.12,,
February,,,,,,,,3.05,2.39,4.13,3.3,2.28,4.2,2.42,3.41,2.67,3.09,1.56,,
March,,,,,,,,3.92,2.38,2.84,0.84,4.97,4.27,4.75,0.46,1.22,3.06,,,
April,,,,,,,,2.55,3.56,1.42,0.55,5.42,3.05,1.05,2.09,1.55,3.07,4.55,,
May,,,,,,,,1.65,1.96,5.95,1.48,1.13,3.05,0.83,0.45,1.72,0.34,3.54,,
June,,,,,,,,1.27,0.36,1.41,0.44,3.73,3.63,1.69,1.57,2.75,1.63,1.6,,
July,,,,,,,,6.01,0.76,0.49,1.99,3.73,2.54,2.05,1.41,5.29,0.8,3.63,,
August,,,,,,,,2.05,7.81,0.94,1.71,1.56,2.39,2.73,2.78,1.68,3.65,,,
September,,,,,,,,3.09,5.73,5.21,1.45,4.76,2.27,2.9,3.93,1.03,5.64,,,
October,,,,,,,,3.99,4.04,2.71,5.35,3.35,5.44,3.11,5.84,8.32,3.59,,,
November,,,,,,,,1.73,3.3,1.87,2.88,1.47,6.5,5.01,3.53,5.4,4.24,,,
December,,,,,,,,1.9,9.28,4.26,3.41,2.39,4.64,0.44,3.94,1.3,9.57,,,
Total,,,,,,,,36.19,47.71,36.46,26.92,37.49,50.78,32.99,32.74,38.6,40.25,,,
,,,,,,,,,,,,,,,,,,,,
Note says gauge was 4in above ground,,,,,,,,,,,,,,,,,,,,
1877 Aug Gauge terminated,,,,,,,,,,,,,,,,,,,,
