BLANDFORD-LONGTHORNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY825992,Long,-2.24893,Lat,50.79211,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,6.63,1.08,9.15,1.13,1.31,1.06,4.32,2.18,6.25,,0.83,3.84,,,,,,,,,4.61,4.99,4.39,2.89,,2.01,5.45
February,,,,2.21,5.32,1.09,3.65,1.72,1.46,0.93,5.64,2.11,3.76,,5.8,6.68,,,,,,,,,0.69,4.98,2.46,3.99,,1.52,1.04
March,,,,4.79,1.86,5.78,1.05,0.74,4.02,5.61,0.91,2.8,6.32,,5.72,0.92,,,,,,,,,1.93,0.86,0.6,3.78,,0.26,1.62
April,,,,4.15,1.29,2.15,1.46,4.79,2.22,2.06,2.3,1.7,0.12,,1.46,1.54,,,,,,,,,3.53,3.11,4.42,2.5,,1.16,2.42
May,,,,3.88,2.87,0.72,2.8,1.88,2.49,1.3,1.87,1.09,1.74,,1.52,1.71,,,,,,,,,5.52,4.09,2.45,1.62,,3.35,2.15
June,,,,2.55,1.24,2,2.48,1.99,0.33,3.51,4.11,2.95,4.84,,1.22,1.36,,,,,,,,,2.15,0.07,3.91,3.04,,1.91,0.84
July,,,,4.21,4.21,0.36,1.29,1.1,1.87,3.51,2.92,0.19,3.71,,4.96,4.93,,,,,,,,,4.16,3.01,1.42,2.58,,0.16,2.04
August,,,,4.78,3.98,3.71,0.62,1.46,4.94,2.81,3.03,0.6,7.89,,3.35,1.41,,,,,,,,,2.49,4.06,0.96,3.87,,1.74,4.19
September,,,,2.97,2.62,2.11,0.9,0.67,2.3,4.4,0.26,1.08,2.7,,2.3,2.15,,,,,,,,,4.51,3.08,0.69,5.46,,0.43,4.25
October,,,,9.34,2.44,2.44,6.69,10.22,3.06,9.63,5.67,4.27,5.07,,3.52,6.44,,,,,,,,,4.49,5.24,4.08,3.42,,4.72,2.76
November,,,,1.83,1.73,6.5,5.32,3.58,1.32,0.68,4.63,5.56,2.52,,5.74,3.38,,,,,,,,,4.01,3.6,13.02,3.73,,10.84,7.27
December,,,,4.28,4.03,1.16,2.38,4.51,4.79,6.2,7.59,10.78,6.08,,9.98,9.89,,,,,,,,,7.34,4.57,0.62,5.29,,9.22,4.78
Total,,,,,38.22,29.1,37.79,33.79,30.11,41.7,43.25,35.31,51,,46.4,44.25,,,,,,,,,45.43,41.66,39.02,42.17,,37.32,38.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903 Jan First 6 days estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge marked as 1ft above ground but otherwise assumed to be in same place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance to fruit trees given so assume was in kitchen garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913 No note as to why no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924 Gauge marked as 1ft 9in above ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 No note as to why no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Summer House sold New owner refuses to observe Station terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
