COTTINGHAM SOUTHVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA046326,Long,-0.414,Lat,53.779,Elevation,26,ft,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900
January,2.09,1.47,2.62,,0.89,3.44,1.47,1.02,2.34,0.89,2.38,2.26,0.88,0.13,0.86,1.71,2.31,2.77,,2.89,1.20,0.73,1.88,2.33,1.58,1.16,1.16,1.75,5.14,0.77,1.91,0.70,,2.98
February,1.30,1.48,1.53,,1.77,2.81,1.66,1.45,0.99,2.27,1.86,1.19,2.92,1.76,2.77,1.40,2.63,1.47,,0.90,0.28,1.23,1.88,1.19,0.17,3.43,3.43,2.51,0.57,0.72,2.63,1.61,,3.12
March,1.56,2.09,2.28,,0.74,2.52,2.37,1.28,0.89,3.47,1.95,1.00,0.96,2.14,2.37,1.44,1.28,1.72,,2.13,1.19,2.38,2.31,1.60,1.71,0.47,0.47,1.02,2.09,2.39,3.03,1.35,,0.41
April,2.50,2.06,1.75,0.34,3.39,2.45,0.65,1.02,0.48,1.82,3.20,1.27,0.90,1.56,1.19,3.61,1.52,1.51,1.69,1.26,1.09,1.76,2.35,0.83,,1.89,0.35,1.60,1.37,1.08,1.67,2.86,,1.17
May,1.51,0.78,4.32,0.74,1.13,1.57,2.00,1.46,1.12,0.97,1.28,2.27,2.59,1.47,0.96,1.67,1.75,0.72,2.34,4.54,1.24,0.50,3.31,2.94,,3.24,1.20,1.96,0.76,0.86,1.27,1.95,,1.31
June,1.68,0.80,1.13,1.63,3.78,1.84,1.21,0.65,1.82,2.20,1.42,1.87,3.02,2.36,1.42,3.33,2.54,0.74,2.41,0.52,0.02,2.21,0.31,3.16,,3.58,1.41,4.25,2.62,2.53,1.88,1.65,,2.05
July,3.60,0.90,0.30,0.51,3.37,4.10,2.47,1.18,4.09,2.61,1.83,0.64,3.20,3.98,2.83,1.88,2.34,1.73,0.55,2.49,1.18,4.89,1.17,1.74,3.63,1.72,2.12,3.78,7.18,1.29,0.23,0.37,1.49,1.85
August,2.09,3.23,2.49,1.41,1.08,2.04,2.39,2.19,3.55,1.37,3.60,4.57,3.02,2.10,4.95,2.71,1.29,1.25,1.69,1.89,2.18,2.50,4.44,3.06,4.06,2.64,2.30,2.56,3.55,2.17,2.91,3.34,0.62,4.43
September,2.45,1.76,2.71,1.56,4.80,3.41,1.97,2.03,3.45,2.53,3.19,1.90,1.93,3.48,2.67,1.35,4.39,1.21,2.62,1.05,2.72,1.78,1.55,1.41,1.48,1.05,1.79,0.99,0.96,3.50,3.34,0.37,2.77,1.04
October,1.76,2.46,1.77,6.36,1.27,3.30,1.99,1.60,3.83,2.08,1.81,1.83,0.64,4.98,2.56,5.40,3.43,1.08,4.81,2.80,2.58,1.32,4.30,1.44,3.48,5.47,1.73,5.31,3.31,5.58,1.51,3.48,2.60,2.92
November,1.00,1.19,2.14,1.57,1.81,3.80,1.52,3.49,5.14,3.27,1.89,3.06,1.78,2.00,2.01,2.55,2.61,1.20,1.93,1.26,1.69,3.30,0.68,3.67,2.86,1.46,3.25,1.65,2.38,1.55,2.86,2.18,1.21,2.88
December,2.74,6.68,4.21,4.06,1.47,3.05,0.32,2.35,1.05,5.20,1.85,1.76,0.85,2.25,2.16,5.42,1.33,2.65,0.77,3.04,1.19,1.98,1.24,1.04,3.30,1.32,2.14,2.50,2.43,4.48,1.89,2.06,2.86,3.24
Total,24.28,24.90,27.25,,25.50,34.33,20.02,19.72,28.75,28.68,26.26,23.62,22.69,28.21,26.75,32.47,27.42,18.05,,24.77,16.56,24.58,25.42,24.41,,27.43,21.35,29.88,32.36,26.92,25.13,21.92,,27.40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_05_pt1/157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt2/010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt1/040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The census shows the observer living at Southview, which was just to the west of Cottingham House.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
