"COTTINGHAM",,,,,,,,,,,,
Grid ref,TA045326,Long,-0.415631,Lat,53.779252,,,,,,,
Station no,RR1255,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.98,,,,,,,,,,,
February,3.12,,,,,,,,,,,
March,0.41,,,,,,,,,,,
April,1.17,,,,,,,,,,,
May,1.31,,,,,,,,,,,
June,2.05,,,,,,,,,,,
July,1.85,,,,,,,,,,,
August,4.43,,,,,,,,,,,
September,1.04,,,,,,,,,,,
October,2.92,,,,,,,,,,,
November,2.88,,,,,,,,,,,
December,3.24,,,,,,,,,,,
Total,27.40,,,,,,,,,,,
Calc annual,27.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
