"NEW GALLOWAY, BACKHILL OF THE BUSH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX480842,Long,-4.3846017,Lat,55.129618,Elevation,890,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5017/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,12.41,9.12,14.13,11.01,15.8,4.52,11.77,15.48,10.27,7.96,2.6,1.77,8.49,11.8,11.96,5.96,,,,,
February,,,,,,,,,,,0.62,8.48,0.03,8.41,1.07,10.56,5.23,8.9,5.25,10.56,3.15,4.83,3.1,8.44,4.24,11.48,,,,,
March,,,,,,,,,,,5.13,1.96,4.97,5.3,2.58,3.07,7.08,2.47,4.06,9.02,8.65,4.84,5.05,3.23,1.73,5.74,,,,,
April,,,,,,,,,,,3.1,4.15,8.75,5.22,4.16,5.95,1.93,3.91,1.14,4.2,4.16,2.84,4.45,5.29,4.17,3.33,,,,,
May,,,,,,,,,,,3.97,5.88,4.5,2.35,5.48,1.26,3.16,2.54,6.27,1.05,2.42,4.96,4.99,,5.09,5.93,,,,,
June,,,,,,,,,,,4.59,9.68,3.69,3.51,3.23,6.09,4.58,7.05,9.51,4.49,1.7,1.86,2.59,,6.4,5.96,,,,,
July,,,,,,,,,,,5.78,6.61,5.65,4.66,3.76,3.75,12.65,7.82,9,8.4,7.11,4.66,8.29,2.95,4.27,4.43,,,,,
August,,,,,,,,,,9.22,10.99,3.38,3.9,5.12,6.23,1.54,4.64,4.02,3.62,2.82,4.43,9.07,8.95,9.63,4.51,3.25,,,,,
September,,,,,,,,,,2.24,6.79,2.66,11.99,0.77,7.93,8.17,6.49,3.79,7.24,4.55,8.67,3.84,8.51,,8.16,8.15,,,,,
October,,,,,,,,,,11.9,16.27,8.02,14.25,6.49,10.46,17.48,10.54,5.69,13.82,5.96,9.51,7.86,12.76,,8.21,8.54,,,,,
November,,,,,,,,,,15.2,10.63,18.11,9.95,3.59,1.93,10.64,9.37,2.21,13.36,13.66,10.82,6.57,2.23,,10.52,0.87,,,,,
December,,,,,,,,,,21.56,10.31,13.31,16.93,3.14,14.35,7.65,12.12,3.03,6.78,4.7,10.12,4.46,12.57,4.74,11.37,8,,,,,
Total,,,,,,,,,,,90.59,91.36,98.74,59.57,76.98,80.68,89.56,66.91,90.32,77.37,73.34,57.56,81.98,,80.63,71.64,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940 Feb mis transcribed from original, corrected",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1943 May, June, Sept, Oct, Nov and total estimated hence removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
