"LEICESTER STONEYGATE ROAD THE CROSSING",,,,,,,,,,,,
Grid ref,SK606026,Long,-1.106345,Lat,52.617797,,,,,,,
Station no,2501,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.88,0.84,0.85,,
February,,,,,,,,1.06,0.95,0.61,,
March,,,,,,,,1.19,2.43,2.88,,
April,,,,,,,,1.70,2.58,1.26,,
May,,,,,,,,2.95,1.72,1.30,,
June,,,,,,,,1.96,1.28,2.69,,
July,,,,,,,0.87,2.79,2.84,3.26,,
August,,,,,,,1.07,2.19,3.07,2.68,,
September,,,,,,,0.97,0.83,1.50,2.30,,
October,,,,,,,3.82,5.02,1.04,3.07,,
November,,,,,,,2.98,1.97,0.83,0.48,,
December,,,,,,,2.20,2.60,1.56,3.49,,
Total,,,,,,,11.91,25.14,20.64,24.87,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,11.91,25.14,20.64,24.87,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
