LEICESTER-STOUGHTON-DRIVE (STONEYGATE ROAD),,,,,,,,,,,,,,,,,,,,
Grid ref,SK604025,Long,-1.10829,Lat,52.6175,Elevation,258,ft,,,,,,,,,,,,
Station no,2501,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,0.88,0.84,0.85,1.76,0.69,3.12,3.74,1.11,1.94,1.16,1.87,2.23,
February,,,,,,,,1.06,0.95,0.61,2.14,1.5,1.19,0.76,1.32,2.72,4.63,0.71,1.34,
March,,,,,,,,1.19,2.43,2.88,0.58,1.56,3.01,3.33,2.41,0.86,4.27,1.08,0.96,
April,,,,,,,,1.7,2.58,1.26,1.66,0.99,0.12,2.41,1.47,0.82,0.9,1.94,1.86,
May,,,,,,,,2.95,1.72,1.3,2.64,1.32,2.67,1.74,1.31,2.26,1.71,2.02,1.53,
June,,,,,,,,1.96,1.28,2.69,0.74,1.62,3.65,1.31,2.26,1.71,1.26,2.66,0.79,
July,,,,,,,0.87,2.79,2.84,3.26,2.2,0.11,4.46,0.92,2.01,7.06,1.31,1.59,2.43,
August,,,,,,,1.07,2.19,3.07,2.68,3.79,2.62,5.57,1.06,1.43,2.21,4.37,4.5,,
September,,,,,,,0.97,0.83,1.5,2.3,1.02,1.47,0.92,1.66,0.58,1.53,1.17,1.77,,
October,,,,,,,3.82,5.02,1.04,3.07,2.14,2,2.07,2.82,2.17,1.24,1.93,3.06,,
November,,,,,,,2.98,1.97,0.83,0.48,3.35,1.99,1.7,2.39,2.84,2.19,2.39,1.04,,
December,,,,,,,2.2,2.6,1.56,3.49,4.07,4.01,3.62,0.79,4.6,4.56,2.14,0.87,,
Total,,,,,,,,25.14,20.64,24.87,26.09,19.88,32.1,22.93,23.51,29.1,27.24,23.11,,
