PRINCETOWN-HUCCABY-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX660728,Long,-3.891,Lat,50.539,Elevation,900,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,3.19,12.26,2.41,3.23,3.33,7.74,1.88,8.31,11.44,1.59,5.24,2.62,1.98,5.83,8.12,9.28,5.13,9.19,2.63,8.5,8.96,10.11,8.28,10.09,4.31,10.2,5.27,8.02,4.7,6.98,1.47,12.58,15.25,9.44,9.55,4.21,10.31,7.9,14.97,6.17,4.18,,,,,
February,,,,,,2.16,6.91,3.2,3.38,0.83,8.53,2.88,11.14,2.27,8.7,12.97,10.23,1.29,2.8,6.94,1.41,0.42,6.04,16.42,2.9,8.62,5,5.91,5.73,3.53,3.69,4.26,0.02,5.51,0.36,7.56,8.86,10.97,2.96,4.17,9.23,7.99,0.74,3.42,1.11,4.05,,,,,
March,,,,,,9.95,2.57,1.64,5.94,9.44,1.92,4.72,11.21,7.25,9.47,0.87,5.33,5.78,2.08,6.07,6.31,4.26,5.85,3.04,3.75,1.18,1.48,7.21,8.08,0.67,4.52,4.02,4.91,7.53,5.77,2.04,6.84,10.36,0.57,1.9,4.79,7.22,5.63,2.41,0.29,1.73,,,,,
April,,,,,,5.51,1.33,6.58,3.36,4.48,4.6,3.27,0.67,8.27,2.71,1.78,1.47,1.8,3.15,3.96,6.13,0.93,6.44,6.93,5.56,5.57,3.21,3.19,3.59,0.82,6.83,5.94,5.4,2.82,4.47,7.29,3.94,6.7,0.15,5.2,4.8,1.38,4.7,1.67,3.5,1.36,,,,,
May,,,,,,1.41,5.24,6.7,2.71,2.23,3.73,1.74,3.64,6.35,2.71,4.98,2.12,4.57,1.63,1.54,2.94,1.84,1.04,3.44,6.49,5.77,3.02,1.01,0.92,5.62,2.3,4.62,5.29,4.08,4.19,3.89,1.19,4.85,4.97,1.03,1.68,3.43,10.53,6.41,1.03,4.95,,,,,
June,,,,,,3.86,1.83,4.91,1.41,3.62,2.82,3.29,8.08,1.04,1.69,1.92,2.64,5.46,2.23,0.94,2.23,0.57,0.99,0.31,3.58,0,5.1,3.6,3.32,2.82,1.18,4.51,5.31,2.58,2.64,6.51,2.83,1.89,2.15,4.56,0.9,3.53,0.77,2.5,4.37,4.67,,,,,
July,,,,,,0.69,1.1,3.42,3.44,4.19,4.09,0.74,8.76,0.39,7.07,3.77,1.32,3.1,4.34,1.44,5.73,1.82,6.07,1.03,5.41,4.48,1.58,6.08,2.78,1.86,3.58,5.75,4.4,3.74,1.07,0.77,11.27,2.06,6.11,8.39,4.3,1.61,3.5,3.61,5.48,4.37,,,,,
August,,,,,,7.28,3.32,1.7,8.2,2.47,7.61,2.86,13.69,3.67,3.57,3.39,5.67,8.25,3.19,4.12,1.78,2.82,4.48,3.67,5.35,3.81,1.99,6.22,2.37,3.34,7.22,5.57,2.01,1.99,7.12,2.49,0.84,1.12,8.33,5.04,0.29,6.99,4.82,4.99,5.62,2.82,,,,,
September,,,,,,2.69,1.13,1.55,3.52,2.28,0.51,2.46,1.92,4.85,3.17,1.08,3.94,3.39,9.7,3.06,2.18,0.84,4.32,5.01,5.69,5.41,1.7,7.27,2.28,0.78,7.21,2.29,8.26,2.66,5.12,5.59,4.94,3.5,2.03,0.69,2.15,0.75,4.26,5.33,4.38,4.93,,,,,
October,,,,,,1.95,9.24,10.53,2.53,12.52,10.41,5.53,7.27,6.14,4.03,7.41,10.53,5.65,3,2.1,7.24,2.18,2.18,9.83,9.63,7.09,4.04,4.19,11.13,9.06,6.84,1.19,12.12,6.39,6.02,6.23,2.17,5.52,6.59,8.44,7.17,2.05,4.03,6.01,8.03,6.01,,,,,
