KIRKBY-CUM-OSGODBY COUNCIL SCHOOL,,,,,,,,,,
Grid ref,TF074926,Long,-0.385,Lat,53.419,Elevation,50,ft,,
Station no,2571/6,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,3.20,1.63,,
February,,,,,,,2.20,,0.82,
March,,,,,,,1.99,0.19,1.69,
April,,,,,,1.59,2.76,0.04,1.52,
May,,,,,,,2.89,,1.06,
June,,,,,,3.56,0.96,1.11,3.86,
July,,,,,,4.78,3.80,5.11,4.23,
August,,,,,,,0.74,2.35,,
September,,,,,,2.16,1.00,,,
October,,,,,,2.37,1.61,2.67,3.02,
November,,,,,,2.80,1.52,2.84,4.21,
December,,,,,,,4.02,,2.50,
Total,,,,,,,26.69,,,
,,,,,,,,,,
TYRain_1931-1940_15_pt1/164,,,,,,,,,,
,,,,,,,,,,
"# The readings for January, February, March, May, August and December 1936 are estimates and have been omitted.",,,,,,,,,,
"# The readings for February, May, September and December 1938 are estimates and have been omitted.",,,,,,,,,,
"# The readings for January, August and September 1939 are estimates and have been omitted.",,,,,,,,,,
