"WOODHEAD RESERVOIR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2753/9,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,7.16,9.65,4.30,7.10,3.60,4.30,4.90,4.98,10.70,2.50,5.90,
February,5.07,0.73,7.30,7.73,2.02,7.34,4.01,1.70,5.31,0.90,0.95,
March,3.40,4.30,3.46,3.10,1.55,2.39,2.24,6.22,2.20,0.75,3.55,
April,7.04,2.59,4.28,4.08,2.32,3.14,2.78,6.01,1.36,1.78,4.12,
May,7.94,2.40,1.80,6.15,5.90,4.23,3.53,1.33,1.50,2.75,2.23,
June,4.09,0.57,3.45,1.66,2.40,0.04,3.70,5.63,6.08,1.75,4.60,
July,9.00,2.02,5.97,6.20,3.85,2.87,3.32,2.86,1.83,2.60,8.10,
August,3.29,5.97,7.43,5.42,6.40,3.52,5.60,5.53,5.20,5.78,6.45,
September,3.12,1.63,6.43,6.07,4.40,4.62,4.06,7.66,0.68,1.75,5.20,
October,1.72,3.47,1.38,5.15,6.32,4.90,5.00,4.68,5.35,5.80,6.45,
November,2.05,2.50,4.05,7.95,2.61,3.03,5.48,6.40,6.21,8.77,5.38,
December,4.27,8.65,6.40,4.96,4.35,4.40,3.40,1.48,3.58,8.63,3.60,
Total,58.15,44.48,56.25,65.57,45.72,44.78,48.02,54.48,50.00,43.76,56.53,
Calc annual,58.15,44.48,56.25,65.57,45.72,44.78,48.02,54.48,50.00,43.76,56.53,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
