"LOCH QUOICH, LOAN",,,,,,,,,,,,
Grid ref,NM933991,Long,-5.408274,Lat,57.036522,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,22.30,,
February,,,,,,,,,,14.20,,
March,,,,,,,,,,1.50,,
April,,,,,,,,,,6.60,,
May,,,,,,,,,,9.40,,
June,,,,,,,,,,1.80,,
July,,,,,,,,,,17.10,,
August,,,,,,,,,,16.00,,
September,,,,,,,,,,8.20,,
October,,,,,,,,,3.60,22.70,,
November,,,,,,,,,16.30,17.40,,
December,,,,,,,,,15.20,13.90,,
Total,,,,,,,,,,151.10,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.10,151.10,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
