"LOCH QUOICH (LOAN)",,,,,,,,,,,,
Grid ref,NM934992,Long,-5.406711,Lat,57.037463,,,,,,,
Station no,5708,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,-999.00,17.00,7.80,,,,,,,
February,,,12.60,8.70,7.54,,,,,,,
March,,,7.40,10.10,2.65,,,,,,,
April,11.00,,9.80,7.50,8.90,,,,,,,
May,2.00,,8.00,6.54,6.45,,,,,,,
June,5.50,,2.00,13.00,8.85,,,,,,,
July,11.00,,10.70,9.63,2.45,,,,,,,
August,14.50,,12.00,13.95,4.85,,,,,,,
September,11.50,,13.00,14.74,,,,,,,,
October,8.00,,-999.00,27.90,,,,,,,,
November,19.50,,30.00,19.45,,,,,,,,
December,28.00,,14.05,37.71,,,,,,,,
Total,,-999.00,153.25,186.22,,,,,,,,
Calc annual,111.00,0.00,119.55,186.22,49.49,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,-999.00,33.70,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
