"BUNTINGFORD WESTMILL COLES PARK",,,,,,,,,,,,
Grid ref,TL367257,Long,-0.013974,Lat,51.913062,,,,,,,
Station no,969,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.21,3.53,0.73,,0.96,,
February,,,,,,1.07,2.13,1.49,2.69,0.49,,
March,,,,,,2.58,1.86,1.01,2.32,3.06,,
April,,,,,,1.97,0.86,2.97,3.01,1.89,,
May,,,,,,1.28,1.13,2.22,1.51,1.37,,
June,,,,,,2.75,2.91,2.00,1.27,3.69,,
July,,,,,,2.07,0.95,1.91,3.61,3.42,,
August,,,,,,3.55,0.78,2.14,3.10,2.44,,
September,,,,,,1.75,1.34,0.53,1.44,2.10,,
October,,,,,,1.33,4.04,3.29,1.30,4.75,,
November,,,,,,2.24,4.45,2.43,1.12,0.89,,
December,,,,,,0.80,2.39,3.21,1.92,3.50,,
Total,,,,,,22.60,26.37,23.93,23.29,28.56,,
Calc annual,0.00,0.00,0.00,0.00,0.00,22.60,26.37,23.93,23.29,28.56,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,-0.00,,
