BUNTINGFORD-WESTMILL-COLES-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL367257,Long,-0.013974,Lat,51.913062,Elevation,379,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,1.21,3.53,0.73,-999,0.96,1.48,1.56,3.09,2.54,1.27,3.25,1.29,1.28,2.12,3.56,,2.31,2.58,1.38,3.05,1.38,1.92,1.77,3.26,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,1.07,2.13,1.49,-999,0.49,3.02,1.32,1.5,0.7,2.02,2.55,3.11,0.62,0.93,2.91,,0.19,1.69,2.79,0.6,2.94,2.91,3.48,1.6,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,2.58,1.86,1.01,2.32,3.06,0.83,2.16,3.34,2.06,4.18,1.37,3.5,1.73,0.86,2.57,,0.98,1.73,1.63,0.91,0.84,0.07,2.13,1.6,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.97,0.86,2.97,3.01,1.89,2.08,1.09,0.07,2.29,0.79,0.96,1.55,1.61,3.51,3.3,,1.46,2.77,1.13,2.88,1.41,2.75,1.89,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.28,1.13,2.22,1.51,1.37,2.11,1.26,1.16,1.63,1.35,1.97,2.4,2.18,1.9,0.23,,1.01,1.24,1,4.76,2.14,1.7,0.94,1.9,,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,2.75,2.91,2,1.27,3.69,2.02,2.85,2.64,1.64,0.82,0.64,2.46,1.15,0.71,1.49,,0.45,1.4,0.78,2.13,0.38,2.79,3.29,2.04,,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,2.07,0.95,1.91,3.61,3.42,1.96,0.65,1.5,2.36,1.75,3.43,1.3,2.62,4.24,2.67,,0.25,4.26,2.29,4.07,2.96,2.43,2.14,,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,3.55,0.78,2.14,3.1,2.44,2.03,0.68,4.84,0.94,1.93,3.08,3.34,5.24,0.77,2.52,,1.04,2.46,2.19,2.01,2.77,1.12,3.67,,,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,1.75,1.34,0.53,1.44,2.1,0.95,1.32,3,1.01,1,1.97,0.97,1.45,4.69,1.14,,1.35,2.86,1.96,2.9,3.22,2.33,4.23,0.81,0.14,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,1.33,4.04,3.29,1.3,4.75,2.54,2.38,2.43,4.71,2.01,1.47,2.76,4.4,1.53,0.81,,1.08,0.59,4.43,4.31,3.1,2.43,2.36,3.2,3.08,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
