"DARNALL, HIGH HAZELS MUSEUM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK400879,Long,-1.400062,Lat,53.386435,Elevation,275,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,3.17,0.91,1.05,1.22,2.48,1.03,4.33,3.14,1.02,2.36,0.74,2.19,1.57,4.12,2.93,2.15,3.85,0.71,1.61,2.12,2.55,1.27,,,
February,,,,,,,2.33,1.54,1.51,0.58,2.86,1.43,1.55,0.9,1.32,3.24,4.28,0.54,1.6,2.53,2.52,0.25,2.81,4.89,1.03,3.47,1.56,1.52,,,
March,,,,,,,1.54,1.66,2.77,3.6,0.62,1.06,2.94,3.05,1.92,0.95,4.96,2.39,1.19,3.95,1.67,1.04,1.59,1.6,1,0.66,0.7,2.3,,,
April,,,,,,,0.41,1.61,2.2,1.3,1.83,0.83,0.26,2.6,0.94,0.85,0.83,1.46,1.37,1.39,4.77,0.73,3.98,2.24,1.67,2.57,1.3,1.71,,,
May,,,,,,,1.59,3.4,2.27,1.63,2.13,0.87,3.72,1.85,1.07,1.35,2.43,1.84,2.23,1.27,3.18,1.16,0.63,2.96,3.34,3.28,2.33,0.88,,,
June,,,,,,,2.34,3,1.45,3.05,2.37,2.09,3.85,0.59,2.25,1.98,1.61,2.11,0.37,0.59,2.73,0.36,1.05,0.6,1.58,0.12,3.26,3.32,,,
July,,,,,,,1.59,2.11,2.07,3.72,2.26,0.12,4.74,1.55,3.4,4.65,1.16,0.87,3.96,3.75,3.78,0.26,3.04,5.57,2.63,0.85,2.38,2.68,,,
August,,,,,,,1.52,1.8,2.68,2.46,3.24,1.75,4.88,1.45,1.62,2.94,1.31,4.39,1.31,2.98,0.76,4.61,6.39,2.25,2.05,2.24,3.03,4.08,,,
September,,,,,,,0.71,0.37,1.1,2.49,0.24,1.89,1.16,2.67,1.39,0.77,1.03,0.78,6.2,2.39,1.02,0.65,2.36,1.82,2.9,2.18,1,3.5,,,
October,,,,,,,5.23,5.07,1,2.25,1.8,2,2.4,3.13,2.51,1.48,2.4,2.78,1.04,2.93,2.12,1.76,0.98,1.36,3.48,2.9,2.37,1.96,,,
November,,,,,,,3.18,2.62,1.09,0.32,3.81,2.75,1.81,2.21,2.69,2.71,3.41,1.19,1.22,1.5,0.96,1.88,0.98,3.05,1.71,2.09,3.42,2.33,,,
December,,,,,,,2.14,1.91,1.56,5.52,3.88,4.57,2.29,1.28,4.73,6.49,2.5,1.42,2.89,3.81,2.73,2.61,2.98,2.53,2.03,2.21,0.99,2.56,,,
Total,,,,,,,25.75,26,20.75,28.14,27.52,20.39,33.93,24.42,24.86,29.77,26.66,21.96,24.95,31.21,29.17,17.46,30.64,29.58,25.03,24.69,24.89,28.11,,,
