CLATWORTHY-WHITES-FARM-(DAILY),,,,,,,,,,,,,,,,,,,,
Grid ref,ST043308,Long,-3.367215,Lat,51.068526,Elevation,823,ft,,,,,,,,,,,,
Station no,2078/9/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.48,5.42,5.56,0.84,2.23,5.8,5.75,5.22,5.02,7.2,5.05
February,,,,,,,,,,9.18,6.13,0.85,2.45,4.49,4.07,0.47,6.76,5.83,0.44,5.05
March,,,,,,,,,,2.16,6.23,4.14,1.47,4.97,2.19,1.73,4.22,1.73,4.32,3.16
April,,,,,,,,,,3.06,4.3,4.13,3.96,0.64,1.3,2.24,0.21,1.81,4.19,3.83
May,,,,,,,,,,2.33,3.24,3.57,3.1,3.68,5.46,0.96,1.87,4.47,1,2.02
June,,,,,,,,,,2.06,1.15,1.86,2.35,4.16,4.85,2.41,2.22,4.89,2.15,1.97
July,,,,,,,,,,5.97,2.28,2.56,4.44,3.54,1.01,4.03,4.73,2.9,3.08,4.61
August,,,,,,,,,,6.61,5.39,7.03,4.2,2.81,0.56,3.64,4.48,4.51,3.68,3.77
September,,,,,,,,,,6.68,3.93,4,5.75,5.1,2.4,6.91,4.91,6.45,0.26,5.94
October,,,,,,,,,,1.7,1.84,6.09,3.57,4.74,2.46,2.34,4.08,3.88,5.29,13.32
November,,,,,,,,,,9.34,9.97,5.34,3.52,10.15,5.27,1.29,2.96,3.64,7.83,6.56
December,,,,,,,,,,3.93,4.33,3.96,1.56,4.97,8.58,6.49,3.95,5.61,11.32,8.75
Total,,,,,,,,,,54.5,54.21,49.09,37.21,51.48,43.95,38.26,45.61,50.74,50.76,64.03
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge read daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This location is later known as CLATWORTHY-NO-1 SRC_ID 9180,,,,,,,,,,,,,,,,,,,,
1950-1961,,,,,,,,,,,,,,,,,,,,
