CASTLE TOWARD ARGYLLSHIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref, NS 115681,Long,-5.013451,Lat,55.869563,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,3.2,5.1,2.25,5.3,5.9,1.5,1.3,2,2.4,1.2,10,2.3,8.1,3.6,1.5,4.4,7.66,3,4.3,,4.83,4.83,5.04,2.48,3.09,12.36,4.1,10.62,7.35,4.24,4.33,1.12,2.75,5.5,3.1,4.4,5.68,6.64,7.86,8.18,4.09,5.3,10.26,5.52,9.31,6.24,3.99,3.39,8.21,7.77,4.87,8.13,3.58,7.55,,
February,,,,,2,4,6.33,2.9,4,2.3,4.15,5.3,2.8,6.8,3.5,6,3.1,5.8,1.4,4.8,3.27,3.3,5,,4.35,2.47,3.12,1.84,9.21,7.6,11.26,4.81,5.41,1.88,5.79,1.05,3.95,3.46,1.12,4.42,3.83,4.81,2.54,3.43,3.56,4.29,5.88,5.91,6.03,5.66,5.53,6.51,5.35,1.77,1.54,1.5,5.49,7.12,,
March,,,,,4,2.8,2,7.1,3.1,2.1,5.8,7.4,5.35,1.2,4.3,4,6,1.6,5.1,5.4,0.6,3.24,6,,4.44,2.81,3.94,2.39,5.07,2.34,2.53,7.33,1.1,0.76,3.16,3.75,0.71,4.24,1.95,5.76,5.21,7.84,3.48,3.16,5.1,2.76,3.82,1.93,6.57,1.28,1.33,4.04,4.35,1.79,4.37,2.27,5.9,2.92,,
April,,,,,2.65,3.15,3,4.55,4.6,2.3,4.2,2.3,2.7,2.6,0.4,1.7,4.2,3,3,2.9,1.17,2.85,0,,2.64,2.52,1.57,3,1.85,2.85,6.29,2.59,1.08,1.95,1.39,4.08,1.91,3.15,3.82,4.77,1.74,0.58,4.83,4.47,2.23,1.23,1.8,7.22,3.52,2.03,2.48,5.43,1.82,0.39,2.94,1.15,2.47,3.8,,
May,,,,,0.35,2.5,0.35,3.8,2.95,3.3,4.8,2.2,1.9,2.5,2.75,5.35,0.35,2.4,1.4,2.45,3.66,3.62,2.71,,0.09,1.13,2.14,3.07,2.62,4.78,2.93,2.2,2.53,0.78,4.13,3.09,3.83,3.13,5.62,0.15,3.66,2.05,5.36,3.66,1.72,3.89,2.04,4.36,3.99,0.49,3.98,2.44,3.79,3.18,2.63,3.05,1.09,1.71,,
June,,,,,1.8,2.2,0.65,5.5,3.7,3.7,2.8,2.7,2.7,5.15,4.6,1.7,3.7,2.2,5.1,2.6,3.57,2.83,3.39,,4.52,3.91,3.85,2.84,5.37,3.27,4.26,6.73,2.66,2.37,5.83,3.88,5.87,2.97,5.23,1.47,4.61,3.61,4.21,4.04,3.01,1.43,2.42,2.64,1.55,2.71,2.32,2.65,8.67,2.39,1.21,2.94,3.84,5.63,,
July,,,,,2.5,0.7,2.9,3.5,2.65,4.2,5.3,3.2,2.7,2.85,3.4,4.4,8.2,2.5,5,3.5,3.81,3.61,2,,3.83,3.84,9.11,2.26,6.97,7.08,6.44,5.83,4.47,5.25,2.93,2.75,3.04,3.41,4.54,3.03,1.68,4.19,5.78,0.41,3.22,3.56,3.69,3.66,1.35,4.01,2.68,3.94,4.83,5.36,2.76,2.35,3.74,4.84,,
August,,,,,4,3.5,5.6,2.4,4.3,6.7,4.2,5.6,3.4,2.55,3.5,4.1,3.75,3.4,6,3.07,3.07,5.58,4.71,,2.68,1.89,4.27,2.53,5.24,5.39,7.31,7.86,2.73,3.02,3.99,6.2,4.65,2.72,4.06,4.41,5.62,12.21,4.2,5.79,2.76,7.2,8.34,4.23,6.69,1.18,2.03,4,6.33,4.89,4.49,4.55,4.58,6.79,,
September,,,,,4.5,5.6,2.5,2.6,3.5,3.6,9.05,4.1,3.2,5.6,3.3,5.6,8.1,2.9,3.7,7.29,7.3,4.13,2.76,,1.82,4.02,2.9,4.65,2.63,2.84,3.08,2.31,1.42,3.56,3.55,2.18,2.2,3.77,3.2,6.83,2.83,6.6,2.84,7.28,6.8,1.34,7.3,5.52,2.34,7.73,3.8,1.61,8.39,5.34,6.91,4.69,2.87,2.36,,
October,,,,,3.05,6.9,8,3.7,3.55,5.9,2.9,8.5,6.3,6.15,5.05,3.5,4.1,5.6,5.4,5.71,1.98,5.82,1.54,,1.77,6.66,4.58,5.57,4.81,3.57,4.76,5.68,2.54,6.99,6.55,6.97,2.58,3.61,4.85,2.88,6.65,5.69,9.6,5.01,3.39,4.16,3.83,7.89,5.37,2.03,6.21,4.69,5.71,8.19,9.47,6.72,6.58,7.31,,
November,,,,,8.05,7.8,3.1,3.75,8.1,5.2,5.2,6.85,5,6.8,4.8,6.15,6.95,6.2,3.9,3.63,4.21,3.24,2.96,,3.82,5.87,4.99,6.1,8.22,10.48,7.48,1.61,5.15,5.03,3.54,1.95,2.15,4.12,1.7,4.43,2.98,6.74,3.36,4.16,6.61,4.01,5.84,1.33,4.08,6.08,2.52,3.72,8.39,5.19,6.12,4.17,2.78,7.76,,
December,,,,,6.8,4.35,5.3,8.2,7.8,2.75,3.95,5.9,7.8,12,3.9,4,7,5.7,5.4,4.71,3.22,5.35,6.27,2.4,0.3,4.93,1.23,5.4,7.24,3.69,5.74,2.76,9.1,0.33,11.33,2.68,5.99,3.92,5.59,3.37,2.69,4.38,8.21,7.67,4.36,4.72,8.63,4.82,7.47,6.16,4.19,5.68,6.32,3.39,2.28,4.5,6.28,8.47,,
Total,,,,,42.9,48.6,41.98,53.3,54.15,43.55,53.65,56.05,46.25,55.4,49.5,48.8,63.55,44.9,46.9,50.46,43.52,46.57,41.64,,35.09,44.88,46.74,42.13,62.32,66.25,66.18,60.33,45.54,36.16,56.52,39.7,39.63,44,44.78,45.92,47.18,65.34,62.27,57.26,46.85,43.89,63.85,55.03,58.27,45.6,41.06,48.1,72.16,49.65,49.59,46.02,49.2,66.26,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hyd Stn No 77-666925, NGR: NS (26) 115681, alt: 36m.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
