KIRKLEATHAM,,,,,,,,
Grid ref,NZ595219,Long,-1.081,Lat,54.589,Elevation,60,ft
Station no,RR6008,,,,,,,
,,,,,,,,
,1886,1887,1888,1889,1890,,,
January,,1.95,0.82,1.31,1.76,,,
February,0.73,0.56,1.51,0.97,1.46,,,
March,2.36,1.85,4.23,2.52,1.74,,,
April,2.32,1.02,1.57,2.44,0.64,,,
May,2.77,2.39,0.34,2.00,2.50,,,
June,0.57,0.21,1.64,0.29,2.33,,,
July,5.24,1.46,5.54,3.05,1.85,,,
August,2.00,1.48,2.77,4.40,4.04,,,
September,1.53,3.54,1.79,1.45,1.80,,,
October,2.09,3.44,0.51,5.26,2.08,,,
November,3.28,3.22,2.93,1.12,3.00,,,
December,4.43,3.28,0.77,1.84,1.93,,,
Total,,24.40,24.42,26.65,25.13,,,
,,,,,,,,
TYRain_1880-1889_11_pt2/079,,,,,,,,
TYRain_1890-1899_17_pt1/221,,,,,,,,
,,,,,,,,
# The reading for January 1886 is an estimate and has been omitted.,,,,,,,,
#,,,,,,,,
# Detailed location not determined. Grid reference is Kirkleatham Hall.,,,,,,,,
