EGTON BRIDGE - BRIDGEHOLME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ803052,Long,-0.764,Lat,54.436,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953
January,,2.88,3.06,2.40,2.13,4.23,2.71,5.11,3.53,6.16,3.60,2.44,3.32,2.65,3.75,4.31,5.69,3.81,5.04,1.22,4.43,5.60,4.80,1.58,6.25,2.26,2.77,7.26,1.06,1.01,2.24,3.82,1.42
February,,1.95,4.06,2.55,4.23,2.14,1.48,1.67,1.21,2.25,3.05,1.34,5.25,3.33,4.45,4.25,2.93,1.69,2.28,3.33,8.29,2.16,1.04,3.74,1.83,1.43,4.45,1.65,0.87,3.72,3.33,0.86,2.46
March,,3.60,1.25,0.90,2.40,0.95,2.46,3.49,0.33,3.27,1.55,2.76,2.26,3.42,0.99,1.33,5.71,0.16,3.85,1.96,3.85,1.24,0.57,0.74,0.41,1.86,4.43,1.60,1.19,1.47,4.53,2.14,0.42
April,,2.39,2.14,2.17,3.17,1.67,2.53,1.73,1.32,5.21,4.69,2.30,1.14,3.42,2.83,2.28,3.00,0.35,1.97,2.41,2.05,1.66,1.02,1.21,2.16,3.53,5.57,0.62,2.32,2.91,2.66,1.16,3.33
May,,0.90,3.69,4.06,2.08,1.93,1.20,1.93,1.40,1.66,2.09,8.69,2.97,1.37,1.94,2.35,3.96,3.72,3.23,0.77,1.70,2.65,2.97,1.29,3.25,1.51,2.44,1.79,1.26,2.42,6.60,1.75,1.90
June,,1.77,1.22,3.38,0.47,2.83,3.27,5.69,2.06,1.45,4.80,1.00,2.13,1.63,3.03,4.29,0.97,2.21,3.55,0.90,0.70,2.37,1.24,2.83,2.40,2.24,1.73,6.62,0.39,1.97,1.56,1.05,3.74
July,,4.50,3.13,4.27,2.87,3.85,2.78,0.61,3.31,11.11,3.71,3.51,1.75,2.50,0.29,2.62,1.50,2.80,2.33,5.78,1.94,4.09,1.34,2.61,1.39,3.76,2.14,1.27,1.77,2.20,1.55,2.45,2.44
August,,4.26,3.26,2.11,4.02,3.31,7.20,3.07,3.07,3.41,2.55,2.37,0.25,3.25,1.62,1.88,1.31,2.91,3.04,1.88,3.45,2.61,3.04,4.41,4.67,4.45,0.17,3.40,1.97,4.34,6.24,2.79,2.64
September,0.96,3.03,2.42,2.33,2.88,1.41,5.19,1.19,0.37,5.52,6.51,2.64,2.04,1.55,5.86,2.50,2.01,2.37,2.71,2.28,0.73,2.38,3.20,5.74,1.63,4.25,2.14,1.33,0.73,2.64,1.37,6.68,1.08
October,2.00,3.29,2.73,4.19,3.19,4.56,2.73,4.57,3.55,2.59,2.61,5.26,6.05,2.26,3.91,2.25,3.23,4.16,7.48,4.51,4.92,1.84,1.54,4.34,2.63,1.75,0.71,1.11,3.44,1.91,1.84,3.98,2.62
November,2.83,1.81,5.98,1.51,5.84,5.33,7.01,3.90,3.96,5.47,3.80,2.09,4.51,3.42,6.25,3.67,3.77,3.84,2.88,4.79,2.88,2.25,5.93,5.10,1.53,6.20,2.05,0.81,5.60,6.28,7.81,5.47,2.36
December,1.58,5.97,4.00,4.17,7.10,2.00,3.14,2.10,6.55,3.83,1.90,1.77,1.35,5.41,2.95,2.92,5.51,5.21,2.50,3.77,0.95,2.51,2.03,2.45,2.57,4.10,2.46,3.43,3.28,4.92,3.28,3.24,1.32
Total,,36.35,36.94,34.04,40.38,34.21,41.70,35.06,30.66,51.93,40.86,36.17,33.02,34.21,37.87,34.65,39.59,33.23,40.86,33.60,35.89,31.36,28.72,36.04,30.72,37.34,31.06,30.89,23.88,35.79,43.01,35.39,25.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
