NEW BYTH,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 82056 53779,Long,-2.301663,Lat,57.573715,Elevation,391,ft,,,,,,,,,,,,
Station no,RR8562,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,2.14,5.16,3.47,3.19,1.99,1.62,3.86,1.5,1.2,2.55,1.19,3.5,2.14,
February,,,,,,,4.13,2.02,2.7,2.4,2.88,3.58,4.17,2.75,1.72,2.74,5.73,3,0.95,
March,,,,,,,3.84,3.06,1.64,2.55,1.78,0.7,2.77,1.94,2.8,2.27,4.19,3.55,3.95,
April,,,,,,,1.72,5.26,3.4,3.11,2.38,3.99,3.66,2.1,1.12,1.3,2.62,3.8,0.85,
May,,,,,,,1.9,1.74,1.68,2.68,2.28,1.91,4.74,4.04,2.11,1.93,2.02,2.55,2.61,
June,,,,,,,2.44,1.65,1.52,2.11,1.63,1.61,4.54,1.62,1.21,1.6,1.2,3.47,2.01,
July,,,,,,,3.47,3.07,1.2,1.07,0.7,4.86,2.21,4.03,1.16,5.33,3.3,3.87,1.83,
August,,,,,,,2.71,2.29,4.51,1.88,1.68,3.32,3.63,4.75,5.14,2.5,2.92,5.83,4.2,
September,,,,,,,3.89,3.55,4.9,7.4,2.76,3.09,5.49,4.65,2.3,5.42,5.85,3.48,3,
October,,,,,,,1.98,3.55,3.4,7.44,2.94,3.58,5.96,4,3.4,6.67,3.29,2.53,4.65,
November,,,,,,,4.55,1.94,4.07,4.47,4.9,3.9,5.8,4.5,4.5,5.11,4.99,5.3,,
December,,,,,,,4.12,5.19,4.33,2.98,6.22,2.08,4.55,1.93,3.2,2.66,5.94,3.27,,
Total,,,,,,,36.89,38.48,36.82,41.28,32.14,34.24,51.38,37.81,29.86,40.08,43.24,44.15,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8562,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
