PRESTON W. W. Alston Reservoit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD604366,Long,-2.603059,Lat,53.824151,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,5.02,4.97,3.78,4.26,3.22,1.63,5.17,5.03,4.8,5.23,2.75,7.15,4.2,1.22,0.63,0.87,3.78,5.1,6.16,2.96,6.4,2.8,1.8,2.2,4.33,2.4,3.9,1.6,3.8,2.45,2.65,1.21,4.53,5.25,4.45,2.46,3.55,4.09,2.63,2.72,5.35,2.1,4.36,2.43,5.4,1.35,3.27,5.9,3.9,5.1,2.9,2.3,2.75,4.8,3.82,5.65,3.1,4.05,3.45,3.1,4.03,4.25,9.05,1.8,5.61,4.85,4.43,3.05,3.62,2.15,3.44,2.56,4.34,4.73,3.28,1.22,3.93,4.94,4.85,3.07,4.35,2.95,7.4,2.49,3.35,4.38,4.09,2.02,5.17,2.8,4.28,3.67,3.63,2.65,5.69
February,,,,,,,4.23,3.2,2.98,5.97,1.2,3.19,4.18,1.35,1.55,1.15,5.03,4.45,2,2.67,2.66,6.26,3.2,3.6,3.1,4.2,1.15,2.3,1.13,2.5,1.2,0.9,3.45,3.4,5.6,0.55,2.7,4.28,3.3,2.15,3.1,1.97,1.63,4,4.15,2.15,3.76,2.95,3.52,4.27,5.43,5,1.79,1.73,3.3,4.05,3.82,1.35,4.73,1.28,2.75,0.25,5.1,4.3,0.9,4.28,6,2.05,4.85,1.09,0.43,4.37,0.07,3.6,0.22,5.55,1.9,5.37,1.62,3.25,1.94,3.81,1.68,2.1,1.61,4.37,5.04,0.27,2.96,2.18,4.62,2.9,1.36,1.33,2.68,1.5,0.66,2.73,6.99,0.69,2.62
March,,,,,,,2.1,1.14,5.15,1.36,2.65,1.78,4.24,3.55,4.96,1.17,3.01,3.98,1.66,2,2.4,4.69,4.65,2.4,6.16,3.92,3.05,2.7,3.3,2.25,3.55,1.45,0.95,3.9,3.3,1.4,6,4.94,1.82,3.25,0.77,3.35,2.74,3.89,2.27,3.4,4.06,4.52,3.2,3.13,1.11,1.93,6.77,5.5,4.2,2.2,2.08,1.87,1.55,5.1,3.2,3.68,2.05,3.2,1.8,2.1,1.36,3.37,2,1.36,2.68,0.45,2.74,2.47,2.37,1.28,2.36,1.56,1.19,1.73,2.96,3.1,2.33,1.05,0.84,1.87,0.82,5.36,2.39,2.12,2.05,4.87,2.05,1.03,2.26,1.3,1.19,3.41,1.74,1.82,1.08
April,,,,,,,0.89,4.8,2.03,2.28,1.99,3.17,2.78,0.9,1.53,1.15,2.86,2.78,1.4,1.54,1.16,2.1,5.04,1.93,0.94,1.6,2.75,1.7,2,2.6,1.5,1.85,2.1,0.47,3,2.4,2.73,2.75,2.27,4.12,2.63,2,1.79,2.57,2.6,2.6,1.97,1.62,2.5,3.8,3.2,2.87,0.74,4.6,1.14,3.3,3.65,1.8,1.15,2.05,4.25,2,2.2,3.18,1.8,2.4,2.1,2.41,1.39,1.56,1.78,3.24,2.9,1.66,2.15,3.15,1.37,2.56,0.51,2.01,2.75,1.12,1.58,3.04,2.55,2.46,1.26,3.72,1.97,4.3,3.56,2.69,3.26,3.04,1.49,2.56,2.02,0.6,1.65,2.83,2.59
May,,,,,,,1.7,2.1,1.76,3.96,1.85,1.95,2.1,2.34,1.88,2.26,0.55,2.5,5.03,2.5,2.12,4.65,2.8,1.93,1.9,1.65,4.96,2.05,0.88,2.9,0.77,1.65,3.4,1.85,2.1,0.7,0.23,3.3,2.9,2.82,1.65,0.77,3.28,3.17,2.9,0.8,4.72,3.73,2.54,2.32,2.4,1.45,2.28,3.1,2.15,1.92,2.28,1.8,1.8,1.75,6.5,2.55,1.43,4.35,5.23,4.1,3.13,1.72,0.74,2.56,1.58,2.44,4.22,1.71,3.78,1.43,1.43,2.35,3.6,0.89,1.82,3.1,3.23,2.61,3.01,3.42,1.2,2.67,1.57,2.61,1.46,2.01,2.37,2.41,2.55,3.21,1.88,1.85,5.49,1.62,2.31
June,,,,,,,4.35,0.93,1.11,2.46,2.22,2.66,5.51,3.27,1.61,3.55,4,1.76,3,4.4,5.34,2.7,5.4,3.87,0.94,3.49,1.7,0.4,2.5,0,3.3,1.85,3.5,1.8,3.7,2.95,2.4,3.6,2.21,2.48,2.7,1.96,1.3,2.4,1.7,2.68,1.7,7.5,2.8,2.6,2.2,2.76,6.15,3.81,1.64,1.9,2,1.85,1.4,1.3,2.5,0.5,3.5,1.54,2.9,0.2,1.53,3.93,6.69,1.59,1.95,7.13,1.25,1.91,2.32,3.2,4.46,2.74,4.08,3.01,0.87,0.53,1.11,4.02,4.02,4.71,3.07,3.32,5.67,1.2,3.25,1.75,4.2,1.62,4.27,3.48,3.05,1.87,4.33,3.78,1.18
July,,,,,,,5.25,4.24,0.62,2.26,3,6.5,5.91,4.38,2.5,5.3,4.36,4.92,1.09,5.18,5.94,7.29,8.18,2.7,6.1,2.25,3.93,1.75,6.45,2.25,3.4,3.3,1.1,4.45,3.5,3.05,2.59,1.77,1.2,1.97,2.29,1.31,3.1,3.83,1.32,2.94,2.36,2.95,5.2,6.4,5.6,1,5.2,1.76,4,2.85,2.75,1.85,4.3,1.35,6.1,2.65,6.6,5.04,5.05,3.35,3.68,3.93,3.89,4.02,5.86,4.3,5.18,3.18,1.73,1.94,4.93,2.16,4.32,6.71,5.19,2.42,4.4,3.94,3.76,2.21,5.41,3.15,2.74,3.88,4.16,2.92,2.43,6.22,6.83,1.09,4.59,5.19,3.99,3.79,6.7
August,,,,,,,5.2,2.1,5.5,5.71,4.83,1.8,4.97,5.1,7.33,3.04,4.46,5.68,5.55,7.5,1.95,6.54,5.5,3.05,2.75,1.86,1.35,1.86,4.9,4.2,6.4,8.3,4.55,5.7,8.2,4.85,3.9,5.5,6.93,2.18,5.38,2.5,3.26,5.3,3.8,4.48,5.15,6.1,4.15,3.76,5.9,3.58,7.65,2.3,3.54,5.8,5.1,5.2,6.05,4.45,1.5,6.1,4.98,7.08,6.12,2.8,4.62,7.78,8,6.5,6.41,5.38,1.8,2.91,5.09,1.82,3.09,2.73,4.63,2.89,2.26,5.61,4.52,6.15,2.7,1.97,7.12,0.15,4.11,3.79,8.54,4.33,6.62,4.91,7.21,1.05,13.57,4.99,4.38,0.8,5.51
September,,,,,,,8.98,3.4,2.25,8.36,3.7,3.47,6.1,3.05,4.54,4.26,5.45,6.36,5.28,3.46,2.4,2.64,3.04,5.56,3.3,4.52,4.96,4.15,1.8,4.3,5.15,3.75,4.5,6.45,0.75,3.45,6.3,4.4,1.27,7.28,2.89,1.4,1.35,5.21,1.52,4.11,1.37,1.3,4.56,3.55,4.8,4.04,2.12,1.9,4.5,0.72,3.4,4.1,10.15,2.25,2.95,2.85,4.15,5.32,5.1,4.15,4.62,8.29,1.75,1.81,3.26,3.13,6.84,1.24,4.31,7.76,4.49,2.49,2.06,1.59,4.93,1.08,3.32,4.91,6.03,2.38,6.66,4.97,4.02,2.39,6.74,2.86,3.75,4.67,6.26,3.62,4.45,7.89,5.39,0.51,3.69
October,,,,,,,2.73,5.85,6.05,3.75,9.95,3.76,5.78,5.74,6.05,3.86,2.73,5.93,4.98,3.36,3,2.92,3.79,6.2,3.49,4.85,4.66,2.1,1.35,3.5,3.55,3.1,5.1,6.5,3.4,5.13,4.17,2.9,3.8,2.86,6.75,3.98,4.08,6.9,3.33,4.3,6.57,3.3,2.58,5.57,4.28,3.8,4.42,2.5,2.23,1.25,8.65,8.3,4,2.85,2.32,3.7,0.78,5.94,4.5,6.23,4.29,4,4.88,6.04,7.06,2.9,6.87,4.97,6.17,7.85,3.84,1.94,8.14,1.97,3.84,4.83,5.53,4.66,4.5,5.29,0.77,0.89,3.29,5,3.36,1.47,2.94,1.63,8.7,3,3.15,6.45,4.1,4.75,2.76
November,,,,,,,7.6,2.39,3.8,5.1,3.27,2,4,2.17,5.3,4.7,3.1,5.45,3.24,0.95,6.27,5.74,6.73,4.8,1.32,3.26,3.55,2.2,4.15,1.85,5.7,4.7,5.2,3.15,3.55,4.1,1.66,4.93,4.59,2.95,3.75,6.38,1.7,3,4.4,4.1,4.45,4,4.2,2.35,5.58,4,4.8,5.03,5.2,2.05,2.5,4.65,2.95,2.5,2.05,2.34,3.3,5.8,2.08,2.56,6.03,4.48,5.41,6.8,5.64,6.59,2.92,1.98,2.66,4.12,4.55,1.53,5.02,5.19,5.45,2.27,1.11,3.59,6.66,0.22,5.57,5.45,3.2,4.39,6.01,8.35,2.25,4.97,6.2,1.77,1.88,1.46,2.27,5.51,8.44
December,,,,,,,5.6,4.18,7.84,4.56,3.28,3.65,3.4,1.72,3.6,2.42,4.62,5.6,2,3.28,7.27,4.72,3.64,3.64,5.64,2.4,4.55,3.36,2.45,3.9,0.95,6.1,0.95,4.5,4.25,4.3,5.26,4.32,5.95,3.61,4.55,4.7,3.55,2.64,2.75,0.99,4.47,5.6,3.2,6.5,3.55,6.2,4.18,3.25,5.9,7.35,3.4,2.18,10.1,5.62,2.75,6.1,5.3,4.98,4.56,3.2,1.7,1.2,2.92,6.96,3.55,2.81,2.15,0.79,5.85,3.74,5.19,1.61,5,2.99,4.18,2.26,3.36,2.05,3.44,1.78,4.3,3.63,3.21,6.69,2.64,9.67,4.25,2.22,4.91,4.65,4.09,5.38,3.44,6.66,4.89
Total,,,,,,,53.65,39.3,42.87,50.03,41.16,35.56,54.14,38.6,45.65,38.09,42.92,56.56,39.43,38.06,41.14,51.12,55.75,44.78,41.8,36.96,43.01,27.37,32.71,32.45,39.8,39.35,38.7,43.77,45.15,35.33,40.59,43.9,40.77,40.92,40.91,32.78,31.33,47,33.37,35.27,45.93,45.67,42.81,46.68,49.45,37.98,49.37,41.38,41.7,38.49,42.53,37.25,50.93,35.3,40.69,38.37,42.49,54.78,43.49,38.47,43.09,47.41,51.57,42.09,45.81,47.59,41.37,29.47,40.27,43.99,41.05,29.6,44.51,36.96,39.47,31.35,36.1,43.06,43.97,33.75,45.57,36.53,42.53,41.04,49.74,48.2,39.57,36.07,58.53,30.03,44.81,45.49,47.4,35.41,47.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872 June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 arithmetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
