"OUGHTERSHAW HALL",,,,,,,,,,,,
Grid ref,SD869814,Long,-2.202443,Lat,54.228143,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.15,3.63,6.00,11.63,7.11,4.88,12.14,4.05,8.58,4.76,,
February,7.34,2.68,1.92,11.31,5.59,5.32,5.82,5.14,6.70,5.11,,
March,1.43,6.29,4.46,10.95,5.28,6.10,6.86,7.72,7.27,5.25,,
April,6.50,4.21,3.08,3.86,8.45,6.83,2.30,4.57,3.80,5.29,,
May,3.67,1.51,3.27,4.45,5.05,1.22,9.75,6.01,4.02,2.94,,
June,4.53,3.22,1.65,3.86,3.00,3.12,2.74,9.45,3.66,3.45,,
July,3.23,3.35,5.58,5.16,2.47,2.56,3.04,4.42,5.76,8.86,,
August,6.92,4.80,4.29,10.69,7.20,8.24,7.48,5.67,6.67,5.19,,
September,3.42,3.02,3.00,6.25,3.77,5.62,2.38,1.26,8.22,4.65,,
October,12.41,5.41,6.41,14.61,3.65,4.74,11.67,7.72,2.96,10.55,,
November,7.21,11.23,4.05,4.40,7.85,9.73,9.62,5.32,5.46,4.36,,
December,11.23,8.23,8.47,6.37,5.62,5.48,6.22,8.51,5.44,10.02,,
Total,76.04,57.58,52.18,93.54,65.04,63.84,80.02,69.84,68.54,70.43,,
Calc annual,76.04,57.58,52.18,93.54,65.04,63.84,80.02,69.84,68.54,70.43,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
