LONGFORGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO303307,Long,-3.132728,Lat,56.463265,Elevation,166,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5573/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.11,3.16,3.45,3.34,1.15,3.82,2.08,3.25,3.66,1.42,,,,,,,,2.89,1.6,,
February,,,,,,,,,,1.41,3.88,1.55,1.6,0.54,2.22,1.21,2.96,2.57,1.44,,,,,,,,3.53,,,
March,,,,,,,,,,3.33,1.77,2.22,0.64,0.27,0.72,1.94,4.26,0.79,,,,,,,,,2.05,,,
April,,,,,,,,,,1.67,1.32,0.83,1.09,1.84,1.2,0.39,2.47,1.13,,,,,,,,,0.78,,,
May,,,,,,,,,,1.47,2.77,2.77,2.99,1.94,3.87,1.47,4.38,3.63,,,,,,,,,1.86,,,
June,,,,,,,,,,0.72,1.14,1.13,2.2,1.84,2.53,2.4,3.55,3.36,,,,,,,,,0.57,,,
July,,,,,,,,,5.4,5.13,3.04,3.32,2.23,3.04,3.73,3.7,3.32,2.28,,,,,,,,,4.18,,,
August,,,,,,,,,2.12,1.04,3.42,2.2,4.74,1.44,2.39,3.97,0.22,6.76,,,,,,,,,3.7,,,
September,,,,,,,,,1.83,1.86,0.99,3.01,2.12,2.28,3.45,3.54,2.5,2.69,,,,,,,,,1.34,,,
October,,,,,,,,,3.32,4.31,3.5,1.62,3.91,3.28,4.3,0.3,1.89,3.25,,,,,,,,,1.79,,,
November,,,,,,,,,5.48,5.11,3.01,0.38,0.93,4,0.86,5.15,1.76,1.05,,,,,,,,,1.31,,,
December,,,,,,,,,1.67,1.77,1.17,2,1.3,1.93,4.38,2.43,1.59,3.19,,,,,,,,,4.09,,,
Total,,,,,,,,,,29.93,29.17,24.48,27.09,23.55,33.47,28.58,32.15,34.36,,,,,,,,,28.09,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5573/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,859370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
