BENNINGTON-LORDSHIP,,,,,,,,,,,,,,,,,,,,
Grid ref,TL296236,Long,-0.11792599,Lat,51.895887,Elevation,365,ft,,,,,,,,,,,,
Station no,RR6484,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.35,1.14,0.87,1.61,1.37,3.83,2.8,0.95,3.64,1.37,1.81,,
February,,,,,,,,1.48,1.16,0.41,2.66,1.03,1.68,0.75,2.52,3.03,3.63,0.78,,
March,,,,,,,,0.93,2.66,3.68,0.93,2.09,3.38,2.1,4.17,1.16,4.68,1.71,,
April,,,,,,,,3.12,2.97,1.84,2.16,1.12,0.11,2.67,0.96,1.04,1.38,2.21,,
May,,,,,,,,2.52,1.45,1.43,2.35,2.87,1.52,1.63,1.65,2.3,2.51,1.69,,
June,,,,,,,,1.95,0.93,4.21,2.59,3.04,3.32,1.47,1.91,0.94,2.64,1.21,,
July,,,,,,,,2.08,2.61,3.35,1.82,0.36,2.08,2.1,2.15,4.04,1.09,3.88,,
August,,,,,,,,1.88,3.01,2.09,1.81,0.61,5.23,1.24,1.38,3.28,3.45,5.83,,
September,,,,,,,,0.5,1.39,2.08,0.89,1.23,2.48,1.35,1.14,1.99,1,1.71,,
October,,,,,,,,3.61,1.24,4.31,2.69,2.72,2.33,3.51,2.16,1.79,3.14,4.57,,
November,,,,,,,,2.26,0.82,1.04,3.73,2.96,2.15,2.63,2.79,2.08,3.81,1.28,,
December,,,,,,,,3.31,1.99,3.14,4.14,5.24,2.6,0.92,6.69,4.76,2.94,0.85,,
Total,,,,,,,,24.99,21.37,28.45,27.38,24.64,30.71,23.17,28.47,30.05,31.64,27.53,,
