BENINGTON LORDSHIP,,,,,,,,,,,,
Grid ref,TL2966223657,Long,-0.117004,Lat,51.896385,,,,,,,
Station no,RR6484,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.35,1.14,0.87,,
February,,,,,,,,1.48,1.16,0.41,,
March,,,,,,,,0.93,2.66,3.68,,
April,,,,,,,,3.12,2.97,1.84,,
May,,,,,,,,2.52,1.45,1.43,,
June,,,,,,,,1.95,0.93,4.21,,
July,,,,,,,,2.08,2.61,3.35,,
August,,,,,,,,1.88,3.01,2.09,,
September,,,,,,,,0.50,1.39,2.08,,
October,,,,,,,,3.61,1.24,4.31,,
November,,,,,,,,2.26,0.82,1.04,,
December,,,,,,,,3.31,1.99,3.14,,
Total,,,,,,,,24.99,21.37,28.45,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.99,21.37,28.45,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
