BISHOPS-STORTFORD-COLLEGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TL481213,Long,0.149757,Lat,51.870618,Elevation,250,ft,,,,,,,,,,,,
Station no,963/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,1.05,,,,,,,,,
February,,,,,,,,,,0.64,2.11,1.18,0.94,0.75,,,,,,
March,,,,,,,,,,2.33,0.91,1.75,2.25,1.11,,,,,,
April,,,,,,,,,,1.05,-999,,,,,,,,,
May,,,,,,,,,,1.31,-999,,0.69,,,,,,,
June,,,,,,,,,,3.26,1.84,2.35,,,,,,,,
July,,,,,,,,,,,1.78,0.46,,,,,,,,
August,,,,,,,,,,-999,-999,,,,,,,,,
September,,,,,,,,,,-999,-999,,,,,,,,,
October,,,,,,,,,1.19,3.69,1.72,,,,,,,,,
November,,,,,,,,,1,0.74,2.66,1.78,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1908 Dec estimated,,,,,,,,,,,,,,,,,,,,
1909 Jan Jul Dec estimated,,,,,,,,,,,,,,,,,,,,
1909 Aug-Sep -999 (3.09),,,,,,,,,,,,,,,,,,,,
1910 Apr-May -999 (4.68),,,,,,,,,,,,,,,,,,,,
1910 Aug-Sep -999 (2.45),,,,,,,,,,,,,,,,,,,,
1911 Apr May estimated,,,,,,,,,,,,,,,,,,,,
