TONGLAND POWER STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX694535,Long,-4.036121,Lat,54.85919,Elevation,69,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5014/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.84,3.94,1.45,9.04,5.78,5.26,4.3,6.5,5.01,9.37,3.41,2.76,5.92,5.33,2.82,,,,,,,
February,,,,,,,,,5.43,1.62,3.14,1.82,3.66,2.38,5.67,3.59,0.9,3.02,3.25,4.36,2.78,1.38,1.61,,,,,,,
March,,,,,,,,,3.49,5.79,3.88,5.28,1.2,0.39,3.47,4.51,5.03,3.98,2.85,5.33,4.48,2.84,0.74,,,,,,,
April,,,,,,,,,1.94,2.41,2.19,2.36,2.97,2.76,2.29,1.25,5.16,2.6,4.31,4.15,2.25,2.5,3.63,,,,,,,
May,,,,,,,,,0.22,1.2,3.88,4.99,5.28,2.26,5.14,1.51,5.75,2.37,1.19,1.86,2.32,2.7,2.85,,,,,,,
June,,,,,,,,,2.61,0.93,0.48,0.7,3.91,3.89,3.73,3.8,3.48,5.47,0.95,3.74,1.03,3.72,2.05,,,,,,,
July,,,,,,,,6.33,6.39,4.47,4.15,3.87,3.91,4.21,2.88,3.83,4.74,3.02,3.44,3.82,3.16,3.2,6.72,,,,,,,
August,,,,,,,,3.27,1.82,1.26,6.45,4.19,7.33,4.76,1.72,4.06,0.1,5.79,3.33,7.85,6.58,6.35,3.28,,,,,,,
September,,,,,,,,5.43,3.45,3.98,2.7,4.3,3.4,6.68,5.17,7.27,3.87,6.75,1.99,9.95,5.48,2.99,6.06,,,,,,,
October,,,,,,,,9.19,4.27,4.14,5.42,6.07,8.41,6.39,5.9,1.23,1.33,5.45,6.86,3.7,0.54,6.09,4.33,,,,,,,
November,,,,,,,,8.21,6.35,6.01,2.98,1.04,3.72,8.94,0.42,8.41,7.24,6.15,6.1,4.16,9.4,2.85,7.27,,,,,,,
December,,,,,,,,4.79,2.08,5.75,2.39,7.19,3.2,5.54,3.92,4.63,3.44,5.28,8.89,2.37,7.62,4.92,3.84,,,,,,,
Total,,,,,,,,,43.89,41.5,39.11,50.85,52.77,53.46,44.61,50.59,46.05,59.25,46.57,54.05,51.56,44.87,45.2,,,,,,,
