"MULL, KINLOCHSPELVIE",,,,,,,,,,,,,,,,,,,,,
Grid ref,NM 65399 26160,Long,-5.800443,Lat,56.369381,Elevation,100,ft,,,,,,,,,,,,,
Station no,5447,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,9.19,6.74,11.47,15.57,16.16,5.33,11.7,10.72,,,,,,,,,
February,,,,,3.61,7.5,11.31,8.1,9.11,4.57,0.52,12,,,,,,,,,
March,,,,,1.22,4.15,8.8,8.01,7.08,3.06,5.94,2.95,,,,,,,,,
April,,,,,5.46,8.14,4.07,9,5.27,3.37,4.5,4.62,,,,,,,,,
May,,,,,4.89,9.27,5.37,5.03,1.77,6.83,4.29,6.86,,,,,,,,,
June,,,,,7.32,2.75,4.05,7.72,6.2,9.12,5.82,7.31,,,,,,,,,
July,,,,,8.78,4.45,6.94,4.1,9.24,6.28,5.06,7.62,,,,,,,,,
August,,,,,8.25,7.99,10.14,7.08,8.34,11.47,13.19,1.95,,,,,,,,,
September,,,,,9.99,6.94,9.74,7.11,5.85,6.39,5.48,5.19,,,,,,,,,
October,,,,,7.09,8.07,10.99,11.74,13.45,15.44,13.5,9.95,,,,,,,,,
November,,,,,7.6,3.57,7.42,9.74,15.66,11.63,12.17,10.58,,,,,,,,,
December,,,,,10.37,7.61,7.93,1.09,11.71,16.11,11.17,12.3,,,,,,,,,
Total,,,,,83.77,77.18,98.23,94.29,109.84,99.6,93.34,92.05,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
OS Spelling KINLOCHSPELVE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5447,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
