HIGH WYCOMBE - LAND END RESERVOIR,,,,,,,,,,,,
Grid ref,SU816918,Long,-0.822760,Lat,51.619119,,,,,,,
Station no,1000/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.68,1.98,1.14,1.20,3.26,4.06,1.94,3.29,4.26,3.68,,
February,5.51,0.89,2.24,2.50,1.71,0.38,3.64,3.73,0.12,2.74,,
March,4.21,2.92,0.55,2.73,1.29,0.95,1.95,2.35,2.80,1.20,,
April,3.29,1.85,2.80,0.40,0.57,1.53,0.23,1.34,2.42,0.43,,
May,2.56,2.66,1.96,4.99,4.71,0.18,1.78,2.41,0.71,1.81,,
June,1.10,1.26,2.17,4.32,2.76,2.34,1.33,3.44,1.85,2.06,,
July,1.24,0.52,3.85,3.04,0.23,1.80,3.11,2.88,2.98,3.35,,
August,5.03,4.48,2.54,4.19,0.51,3.75,3.10,3.18,1.85,3.35,,
September,3.70,3.12,2.24,2.02,2.41,3.23,3.57,5.78,0.27,4.02,,
October,1.12,3.74,3.20,2.69,2.88,1.74,2.54,3.63,2.77,7.26,,
November,6.90,3.40,1.53,5.62,1.69,0.77,2.22,3.23,2.43,4.29,,
December,2.04,3.62,0.67,2.70,2.99,4.22,2.82,3.63,5.60,3.46,,
Total,40.38,30.44,24.89,36.40,25.01,24.95,28.23,38.89,28.06,37.65,,
Calc annual,40.38,30.44,24.89,36.40,25.01,24.95,28.23,38.89,28.06,37.65,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
